Content,score,VADER_Sentiment
congrats 5 billion downloader,5,Positive
super duper,5,Positive
goodlike,5,Neutral
yaar live nahi chlta insta pe,1,Neutral
nice,5,Positive
nice,5,Positive
love instagram,5,Positive
brooo bae best app everrrr,5,Positive
positive,5,Positive
nice bro,5,Positive
good timpass,5,Positive
please unfreeze instagram account amitg0786,5,Positive
helpful,5,Positive
awesome thanks,5,Positive
like instagram,4,Positive
nice app,5,Positive
video creator,5,Neutral
excellent service,5,Positive
nice,5,Positive
full whatsapp download,5,Neutral
second none,5,Neutral
brother single get romantic couple reel fond car girl,1,Positive
thevudiya thayoli instagram,1,Neutral
nice instagram,3,Positive
tik tok best,1,Positive
giving indian song etc,1,Positive
instagram nice app,5,Positive
update every day never receive new benefit,1,Negative
dont get remix reel tag option reel,3,Neutral
personal professional page good reason terrible every account nigeria automatically look like spam fraudulent page instagram need better,2,Negative
roshan siddrth jadhav,5,Neutral
thats amazing app,5,Positive
shiity app,1,Neutral
love mom doesnt allow,5,Positive
working 2 day later,1,Neutral
really like app dependable enjoyable,5,Positive
ye boi,5,Neutral
beautiful app,5,Positive
wonderful,3,Positive
vansh ladwal,5,Neutral
highly inflammable,5,Neutral
nice stage talent,4,Positive
hello dear instagram forgotten password instagram account also number email added sorry worried right want instagram account back request instagram team please help recover id use id requested provide u link readd number email activate account,1,Positive
app good,5,Positive
thats app like,5,Positive
adhir adhikary,5,Neutral
nuralom 123,2,Neutral
pranjal manish tivarekar,5,Neutral
instagram na abhi tak bachi hi nhi karai,5,Neutral
good thanks,5,Positive
like app,5,Positive
best useful app,5,Positive
feed nice relatable suddenly anything coming sometimes marathi kannad language reel usually feed hindi english sooo manyy glitchess bug,2,Positive
need 10k following instgram id name kritim aryal profiel phone please give 10k follows,5,Positive
vedant bhoi,5,Neutral
nice app account private crossed age 16 still cant change account private,5,Positive
instagram happening newly made account got banned freaking reason please back cant open fb ig doesnt important stuff like academic stuff fb account please helpp,1,Negative
help,5,Positive
good,5,Positive
girl reply issue one reply ugly people platform u platform mingle,1,Negative
totally unhelpful,1,Neutral
keep freezing watching reel audio playing background video stop,4,Negative
gud app mera account suspende hogya iski wajah se,5,Neutral
best app entertainment,5,Positive
aamiralvi,5,Neutral
moved highlight make tab bring back main page actually highlighted,1,Positive
love app,5,Positive
enjoy,5,Positive
bandarban password ke id read nahin hoti isliye instagram,1,Neutral
live video 1000 follower nahi,5,Neutral
one useful apps make contact,4,Positive
facing issue vd,1,Neutral
jindgi khrab karne ki chij hai bahut achi bhi hai,5,Neutral
wow suepr,1,Positive
fantastic platform,5,Positive
mere phone yeh download hon ke baad yeh aap uninstall ho ja raha hai,1,Neutral
jann insurance,5,Neutral
adhi zindegi isi khtm ho gai,4,Neutral
ye sahu se kaam q nahi kar raha hai,1,Neutral
app good love app,5,Positive
awesome app bhai,5,Positive
bahut achcha excellent instagram,5,Positive
good,5,Positive
great experience,5,Positive
nice,5,Positive
instagram app never worked well still facing many glitch yes please change update theme please improve,1,Positive
mere account par live ka option nahi aa rha hai whats happening,2,Neutral
tranding song show,5,Neutral
new feature chahiye,5,Neutral
cant take screenshots chat pls fix new update able take screenshots didnt like new update,1,Negative
nice good,5,Positive
instagram l,5,Neutral
instagram rock,5,Neutral
showing much ad,1,Neutral
nice app reel,5,Positive
best app forever love app,5,Positive
bad experience worst platform ever case security one hack id bo anything help get instagram also dont know anything fix system made person live mental hospital,1,Negative
best app ever used,5,Positive
nice r literally addictedwe r happy instaand wish insta app apps beatwe always support instagramits different others though,5,Positive
cant use music even story wonder people use tik tok instagram many restriction app fix issue also fix location thing maybe add feature adding photo feature cause update suck bad,1,Negative
yes amazing app,5,Positive
privacy policy good secure app,1,Positive
prakash 6,4,Neutral
cant find marathi song search posting story time glitch,4,Neutral
good aplication time pas good contant creating app,5,Positive
skip reel work,3,Neutral
good better good,5,Positive
superb used app phone,5,Positive
call,5,Neutral
naice app,5,Neutral
,5,Neutral
kartick bhai,5,Neutral
chii poo ga,1,Neutral
thank much,5,Positive
minnat,5,Neutral
filling istagram,5,Neutral
md aijaj raj 0786,5,Neutral
follow list,2,Neutral
preeirt,3,Neutral
arm f cm 8 ko njj lmko nk,2,Neutral
best app reel,5,Positive
ok famous hona hai,5,Positive
good quality,5,Positive
app good useful like app much,5,Positive
superb,4,Positive
lock chat system,1,Neutral
fake followed community guideline still reel getting uploaded reel uploading problem face cant share reel account activity may follow community standard please reply,1,Negative
really nice app,5,Positive
amazing app world favourite app instagram,5,Positive
fluff solid visuals caption make think make feed better every time scroll,5,Positive
outstanding,5,Positive
good appit help reach audience especially small entrepreneur,4,Positive
awesome user experience trend,5,Positive
need support,3,Positive
working properly,1,Neutral
thanks ruining screenshot issue cant take screenshots chat close one anymore memory capture longer,1,Positive
excellent,5,Positive
nicee,5,Neutral
problem loading previous message group chat every time,1,Negative
update update update every day new update whats wrong,1,Negative
manusha,5,Neutral
app beautiful new friend,5,Positive
good platform share activity show talent,5,Positive
arain,4,Neutral
good app,5,Positive
im happy help rating thought 500word review might bit lengthy here detailed review masterpiece resonates deeply im utterly blown away creativity attention detail went crafting experience moment immersed knew something special way captured essence favorite song nothing short magical every element visuals audio came together seamlessly create,5,Positive
syed ameen hello instagram,5,Neutral
veeeery good,5,Positive
lx sobuj 320,5,Neutral
best app world,5,Positive
playing audio reel youre seeing even switching another page two audio sometimes insanity,1,Negative
instagram terrible horrible permanently deletes account never let recover lose photo video story youve saved instagram doesnt offer solution uninhabited deleted account lose photo video story forever without warning giving explanation reason theyve permanently disabled account disaster monumental catastrophe meta,1,Negative
got kicked without reason lost 2k follower,4,Positive
follower count glitching good,1,Positive
never thought much instagram good appreciate,5,Positive
gooooodddd apppp,5,Neutral
responded kindly reduce,5,Positive
pls check id sohit_gupta9265,5,Positive
best play store,5,Positive
gud,5,Neutral
love fre e fire,5,Positive
amazing application problem account get blocked regularly,5,Neutral
wow new version,4,Positive
good good,5,Positive
aap useful,5,Positive
easy use app,5,Positive
iimi,3,Neutral
searched instagram playstore snapchat pop issue needed solved contact google pls,5,Positive
app full bug,1,Neutral
deepakmeena,3,Neutral
dont give notification facebook thread app annoying wanted see stuff friend shanghaied onto rest bad apps,2,Negative
thanks instagram beautiful app,5,Positive
great opportunity show skill,5,Positive
faatest_platform _for reel,5,Neutral
armanpatan,1,Neutral
use app worth using fraud scammer uninstall app report app,1,Negative
nice public app,4,Positive
best app entertainment life related reel quote stay connected people,5,Positive
webp app getting worse update cannot scroll read old 23days message,1,Negative
nice app posting reel story take much time,5,Positive
beginner content creator loved app,5,Positive
good app people make fake id playing feeling people good please available one id id thankyou,5,Positive
security staff verbal abusing,1,Negative
people following page showing follower tab,1,Neutral
mast mast nice bro,5,Positive
crack lodhi,5,Neutral
january,5,Neutral
happy,5,Positive
well havent long amazing please difficult video fly around,3,Negative
super,5,Positive
suvam kumar,5,Neutral
beautiful app favorite app please support app,1,Positive
life instagram,5,Neutral
teen safety need private,1,Positive
love music option,5,Positive
many gilch buy,4,Neutral
good app,4,Positive
esko koi bhi download mat kro yah app pahle apna lat dharayega phir apka hi id bina koi reason ka suspend kar dega 3 sal se ek id use kar rha tha achha bhi id tha per insta manegement mera id hi suspend kar diya,1,Negative
neelwwwtcom,5,Neutral
instagram showing restyle option please fix issue,5,Positive
best social medium platform,5,Positive
intrest,5,Neutral
update nice like im unable post reel whatsapp status dont know ive uninstalled installed ig,3,Positive
lovely,5,Positive
trying login since last 2 day able login even filling captcha correctly happening,1,Neutral
good app time waste,1,Neutral
osm experience,5,Neutral
good dont push video go viral,3,Positive
stable right,5,Positive
wow app,5,Positive
havent yet cant get app,3,Neutral
best aap,3,Positive
love instagram,5,Positive
favorite app,5,Positive
cool entertainment,5,Positive
fake follower,5,Negative
happening instagram id getting problem login happened able get still facing problem yesterdaywhat suddenly happened able login forgotten password also working,1,Negative
good slutyish stuff fan facebook,5,Positive
maganda mag picture,5,Neutral
insta account disabled without hard reason please help recover,1,Positive
ai made instagram ban account,1,Negative
anime,5,Neutral
help full,4,Positive
really amazing app,5,Positive
perfection instagram,5,Positive
fabolous,5,Neutral
funny,5,Positive
used wasted almost 28 min realised,1,Negative
useless,5,Negative
aap emotion,5,Neutral
nice use,5,Positive
sanjay kumar,4,Neutral
exlent app time spend,5,Neutral
unable switch professional account personal account even trying everything frustrated,1,Negative
dirty app id suspend without reason,1,Negative
instagram good social medium app work,5,Positive
madarsud app,5,Neutral
got manny new friend throughout apppretty good filter etc,4,Positive
suspended,2,Negative
good,5,Positive
bad social medium app,1,Negative
log password glitch,1,Neutral
download instagram,5,Neutral
best invasion human thanks,5,Positive
instagram per next ke option ja raha hai login nahin ho raha hai,5,Neutral
imsges get automatically recropoed press next app crash time unskippable ad make close app bruh,1,Negative
love app please viral video personally request instagram love everyday post video favorite aap one instagram pls insta know much love app mere video ki viwes kyu nahi badhteim disappointed l love app please increase view video followershi instagram app super really like app video clarity super se uper number 1 app,5,Positive
myyy fav app,5,Positive
using instagram many year suddenly dont understand happened working good asking verification thing using many year happened suddenly 2 day suffering login thing able connect another account good instagram request check resolve problem,1,Positive
app actually fantastic app,1,Positive
type,4,Neutral
achcha hai post dekh sakte sabki bacche bigad rahe hain,3,Neutral
nagloloko iba emoji lumalabas pang android,1,Neutral
bhot badiyaa app,5,Neutral
bekar tension,1,Negative
app good ban app app good instagram,5,Positive
good app sometimes suck alot like right messaging option available every possible way tried,3,Positive
entertaining,5,Positive
nice appreciate,4,Positive
beautiful app,5,Positive
wonderful,5,Positive
good friend,1,Positive
iehssh,5,Neutral
best platform earning,5,Positive
trash app,5,Neutral
showing instagram isnt responding many time uninstalled install still showing instagram isnt responding,1,Neutral
enjoying,5,Positive
enjoy much,5,Positive
best talk girlfriend,5,Positive
islamic content,5,Neutral
till nice experience,5,Positive
amazing,4,Positive
best app ever used,5,Positive
vare vare good,5,Positive
instagram new ai moderation deeply disappointing falsely accused something never done would ever 3 year account banned without real evidence explanation false accusation hit new account family man unfair personally hurtful labeled way shared positivity silenced baseless ai judgment feel devastating unjust,1,Negative
changed reel pause tap screen instead mute reporting month havent heard back anything app suck,1,Negative
awful hire engineer back horriblefrom ui functionality,1,Negative
good app,5,Positive
sachin nilesh,5,Neutral
even deserve one star dirtiest app ever u losse time resourcesplz,1,Negative
instagram nice app please reel viral,5,Positive
soooooooo,5,Neutral
nice interact,5,Positive
disgusting,1,Negative
good information instagram,5,Positive
yash kumar 1113,5,Neutral
purchasing offer facebook instagrammy instagram showing captcha againwhat happen,5,Neutral
cool,5,Positive
supar,5,Neutral
instagram getting bad since update itwhy sound story always gone sound reel sound archive gone instagram delete archive story know dont many follower wanna keep memory watch need 1000 follower live instagram lately always live private account 4 follower nowadays cannot anymore please fix back like please im begging,1,Negative
account suspended unknown reason,1,Negative
best app ever seen,5,Positive
everything video quality excellent,5,Positive
please review system first enjoying deleting everyone account valid proof proof dont show u community guideline delete account,1,Positive
cant login stuck captcha help paid verified subscription serve customer,1,Positive
nice app bahut ax hai,5,Positive
awesome experience,5,Positive
ankitprajapati,5,Neutral
poor,1,Negative
reel viral nhi ho raha hai,3,Neutral
roll number 81,1,Positive
account got suspended without reason didnt post sexual activity orr go comunity guideline still account got suspended like open new account go suspend acc,1,Negative
incredibly difficult make recover account used mainly one account hacked tried recover account via code sent phone number knew mine always triple check phone number code sent sm need simpler andor streamline way help people recover account please let able receive code sent sm ill change review get access account back,1,Negative
supporting talent,1,Positive
privacy,5,Neutral
word awesome,5,Positive
interested application bugfull problem app,1,Neutral
good app working well,3,Positive
love something going note started happen every timei try put note second dissappears reason,5,Positive
instagram best please improve reel follower,5,Positive
brilliant,5,Positive
meri duniya tum hi ho tum hi aasra,5,Neutral
amazing app,5,Positive
app really good thing actually pretty much better app thing didnt like cant hide like everyone see reel liked ig option showing hiding like,4,Positive
coll paroblam,5,Neutral
good service,5,Positive
please optimize app samsung galaxy fold 7 foldables,1,Positive
nice place time pas,5,Positive
meri reel viral krdo jo aaj dali hai 5star rate krdiya hai tumko,5,Neutral
awesome,5,Positive
ad nothing ad,1,Neutral
create group chat slows request developer provide faster service,4,Positive
instagram helpful plateform time pas plateform chatting seting mast,5,Positive
uninstalled,1,Neutral
cant update app,1,Neutral
fantastic,5,Positive
best app found play store instagram loved good uploading story many glitch faced uploading story please fix,4,Positive
thes nice app reel nice,5,Positive
perfect,5,Positive
bhai a1 app aahe hi,5,Neutral
thank,5,Positive
great experience,5,Positive
always enjoyed using instagram account everything easy use,5,Positive
new experience free life,5,Positive
782774 27 ok e zz xx xx zz xx zz xx tzc s cc x xx,4,Positive
creating named account,1,Positive
mast hai,5,Neutral
amazing editing like,5,Positive
dommetiran,1,Neutral
instagram give best performance sometimes toubles opening posting please support side,5,Positive
prefer old instagram since bought app junk,1,Neutral
weast app,5,Neutral
insta helpful platform doesnt work neat clean tablet version feature missing reel missing tablet version stedy doesnt support somethings,2,Negative
good amazing app love,5,Positive
amazing app,5,Positive
well enjoy much,4,Positive
story problem uploading solved fast,1,Negative
dear instgram team im problem went open instagram account show sorry couldnt complete request track later moment still follow community guideline please fix problem,1,Negative
wonderful app useful daily work,5,Positive
thanku,5,Neutral
kya bete aur bta kaisa hai,1,Neutral
changed phone im able login account ive trying since 2 day easily login im old phone new say incorrect password changed,1,Positive
didnt showing pause option reel bad,5,Negative
compressed video uploads version instagram way worse version iphones creator cant android,1,Negative
please make page grow quickly,5,Positive
addiction,5,Neutral
good intrested,5,Positive
good,5,Positive
cant log acc tap reset password sends mail click say something went wrong try log acc pas say incorrect pas pas correct put put another phone log whats wrong guy personal issue try reset pas putting phone give every id instead main id want recover whyyyyyyyy,1,Negative
application amazing,5,Positive
follow new profile,5,Neutral
wasnt bad experience,5,Positive
instagram many issue beyond shoehorning reel great photo platform,5,Positive
best app world give fun board see instagram best app use app entertainment love app,5,Positive
need viral,1,Neutral
bhaut bhadiya hai,5,Neutral
instagram change life bounce gift option,5,Positive
mere instagram mein like live nahin ho raha hai,5,Positive
zor 4k ga oz qoldim alhamdurillah,5,Neutral
pls update id id updated new update id,4,Positive
im unable choose audio public used user also im unable see full follow request stop around 20 people,1,Negative
adipoli,5,Neutral
thank yrr aap ke wajah se pata chal ki indian payri ladki bhi hai,5,Positive
network issue h bahot jayada,1,Neutral
nice enjoy,5,Positive
best,4,Positive
scam effort exposed nobody follows money making app worst social shitwork ever like another everyone especial mediocricy dilutes real talent,1,Negative
plz fix bug seeing story,1,Positive
lajwaab,5,Neutral
good,5,Positive
best apk,5,Positive
good result,5,Positive
many ad ad break,2,Neutral
id login problem,1,Negative
stop reel watching,1,Negative
mera instagram downloading nahin hota hai,1,Neutral
superb learn thing instagram,5,Positive
superb love instgram always,5,Positive
thank,5,Positive
convenient use,5,Neutral
new map update ig wont allow login app super frustrating ive changed password yet still get recaptcha puzzle verify identity still get forced personal account account hacked still access business account us password better instagram unacceptable,2,Negative
instagram awesome,5,Positive
amazing social app,5,Positive
hello instagram team last 12 day many user facing problem instagram please solved problem,5,Negative
caption neededann data,5,Neutral
instagram cant sent code,1,Neutral
plz mujhe koii karo,1,Positive
insta good aap good reel upload palyedfarm good responesreels aap time good aap,5,Positive
horribly optimised compared io counterpart extremely buggy,1,Negative
