Content,score,VADER_Sentiment,Sentiment
im facing issue instagram scroll reel 23 min shifting homepage chat box side screen becomes black cant see anything need start instagram removing recent tab please something,2,Positive,Neutral
good app,5,Positive,Positive
apo better apps full reel infinite thats app help u get know people become popular,5,Positive,Positive
calculator,1,Neutral,Neutral
bad,1,Negative,Negative
good,5,Positive,Positive
good aap,4,Positive,Positive
great app,5,Positive,Positive
update problem,5,Negative,Neutral
nice download guy,5,Positive,Positive
bestttt,5,Neutral,Neutral
shaikh,5,Neutral,Neutral
sanjit,1,Neutral,Neutral
mere follower badhne ki jagah ghat rhe h pta nhi kyu unfollow jo karte h bo dikh nhi rhe follow karte h unka notification ata h counting utni hi rahti h,2,Neutral,Negative
track data us message update algorithm,1,Neutral,Neutral
multiple id update come tgay act id remains unchanged,5,Neutral,Neutral
faltu app dont like,1,Negative,Neutral
perfect,5,Positive,Positive
much good,5,Positive,Positive
love instagram family,5,Positive,Positive
good app instagram,5,Positive,Positive
thikthak,1,Neutral,Neutral
good job,5,Positive,Positive
love instagram,5,Positive,Positive
meta ruined social medium censorship speech support war criminal,1,Negative,Negative
follows 10 k,5,Neutral,Neutral
whenever open always show nudity negetive content dont follow doesnt show search first reel whenever open disgusting experience,1,Negative,Negative
amazing,5,Positive,Positive
love instagram,5,Positive,Positive
amazing post updated,5,Positive,Positive
facing problem loggin id even entering right password,2,Negative,Positive
bad app dont installat itit wastage data,5,Negative,Negative
never issue last year ive 2 account disabled thing didnt appeal process doesnt even give option explain talk anyone havent posted anything year somehow keep getting account disabled b,1,Neutral,Negative
hello instagram team noticed restyle option story missing account already updated app restarted device feature still available please help enable feature thank,5,Positive,Neutral
people cant mention story update insta lot time modification,1,Neutral,Neutral
instagram give boyfriend,5,Neutral,Neutral
best platform,5,Positive,Positive
genuinely unusable unskippable ad feed story literally every 4th post ad awful horrible hate every time open app want close immediately dm dont load anymore message disappear randomly sometimes let see recent message refuse load older one app genuinely become painful use,2,Negative,Negative
instagram useful app,5,Positive,Positive
nice app,5,Positive,Positive
cant open acc acc problem nothing truly clitsh keep following cant log acc,1,Negative,Neutral
like much,5,Positive,Positive
instagram good platform nice,5,Positive,Positive
best app use,5,Positive,Positive
feeling good,5,Positive,Positive
app nice,5,Positive,Positive
cant login account even correct password,1,Neutral,Neutral
time pas ke liye thike hai,4,Neutral,Neutral
love aap,5,Positive,Positive
super,5,Positive,Positive
app convenient handy general knowledge past 3 day facing issue like reviewing saved reel stucks app close cant able message ig team please solve issue,4,Positive,Positive
need earn mone like facebook youtube,1,Positive,Neutral
cant see viewer pls allow,4,Positive,Neutral
get money instagram post video,5,Neutral,Neutral
speakless wow,5,Positive,Neutral
thinking time ig 40 mb double,5,Neutral,Neutral
account disabled problem,2,Negative,Negative
fantasy world wealthy happy people would like see install,1,Positive,Positive
best app using past 5 month going great,5,Positive,Positive
good personal use like saving photo bad everything else expect lot fake science ai picture verified checkmark profile,2,Negative,Negative
great,5,Positive,Positive
app wonderful,5,Positive,Positive
awesome man,5,Positive,Positive
app work ive issue week one story open forcing clear data restart multiple time day internet finefix app,1,Positive,Neutral
open,1,Neutral,Neutral
app great need clear chat direct feature,5,Positive,Positive
osama,4,Neutral,Neutral
insta id getting reach,3,Neutral,Neutral
worlde best sosal midiea app,5,Positive,Positive
wonderful great,5,Positive,Positive
post dont go alot viral men,5,Neutral,Neutral
instagram mere sare account disable kar diya hate instagram,1,Negative,Negative
please dear meta bring back music instagram,5,Positive,Neutral
dont know song section removed reel,2,Neutral,Neutral
vry nice thise aap,5,Positive,Positive
aap favourite im aap talk favourite person,5,Neutral,Neutral
1k follower se kam hone ke karan live nahi chal raha hai normal instagram user ko kya live chalane ka haq nahi hai sit,1,Neutral,Positive
yeah mean app good honestly saying faced problem telling mention back anyone dp photo person mentioned back changed didnt like hope instagram fix problem next update thank,4,Positive,Positive
easy use,4,Positive,Positive
instagram upate,1,Neutral,Neutral
pleade stop suspending account thank u,4,Positive,Neutral
wonderful experience,5,Positive,Positive
amazing,5,Positive,Positive
done done done,5,Neutral,Neutral
sameer pathan,1,Neutral,Neutral
exciting app,5,Positive,Positive
beautiful app good reel chatting call message,5,Positive,Positive
lnstagram,5,Neutral,Neutral
bad new version update,1,Negative,Negative
comfortable platform,5,Positive,Positive
siam yadav,5,Neutral,Neutral
dear instagram team didnt send anything purpose break community guideline mistake cant able send message 3 day please review instagram account right always follow rule instagram please get,1,Positive,Positive
ill choose full rate u give trial option,5,Negative,Neutral
comment,1,Neutral,Neutral
good service like,5,Positive,Positive
beautiful,5,Positive,Positive
worst app,1,Negative,Negative
nice application jo man hai wah yaha dil khol ke baya kar sakte hai,4,Positive,Positive
real creator,5,Neutral,Positive
ajmal,5,Neutral,Neutral
excellent exercise application peaceful mind,5,Positive,Positive
excellent,5,Positive,Positive
please remove repost button app,1,Positive,Neutral
follow,5,Neutral,Neutral
l love simple use,4,Positive,Positive
sometimes played reel app didnt played reel well please fix issue,1,Positive,Neutral
amazing platform user like grow identity,5,Positive,Positive
nice experience,5,Positive,Positive
hail satan,5,Positive,Neutral
super app,5,Positive,Positive
new enjoying much,5,Positive,Positive
great app,5,Positive,Positive
hello instagram team account suspended mistake always follow instagram community guideline term service believe suspension error violated policy kindly review account restore soon possible important stay connected friend family community thank supportuser name fahad295x,5,Positive,Positive
soo best app,5,Positive,Positive
instagram year zero problem suddenly past two week whenever message friend scroll upwards without neverending loading icon unless delete reinstall ridiculous,1,Negative,Negative
favourite,2,Neutral,Neutral
wonderful app,5,Positive,Positive
need help account automatic following someone dont know dont know keep unfollow block keep refollow someone else today got suspend really need instagram help,3,Positive,Neutral
korraaa,5,Neutral,Neutral
best app,3,Positive,Positive
5 star mahe plz reel support,5,Positive,Neutral
monopoly bad constantly bugged something went wrong ridiculous least give error code smthn,1,Negative,Negative
brilliant,5,Positive,Positive
instagram best online app app,5,Positive,Positive
best social medium app tbh,5,Positive,Positive
smooth,5,Neutral,Positive
good app,5,Positive,Positive
really worst day day problem increasing one id dont able send message still issue im using moto 50 fusion chat message sent recieved show camera calling error plz fix needful,1,Negative,Negative
hii viws,5,Neutral,Neutral
mast app ha bhai instagram mast,5,Positive,Neutral
bad,5,Negative,Negative
sometimes difficult post reel video,4,Negative,Negative
even changing front style mobile setting front style instagram change,5,Neutral,Neutral
love,5,Positive,Positive
thik hai,3,Neutral,Neutral
interesting app advertising gaining knowledge various thing,5,Positive,Positive
good platform content creator influence showcase talent fun entertaining app,5,Positive,Positive
best app get viral,5,Positive,Positive
many bug banned reason,1,Negative,Positive
limited way edit story layering limit creative idea person,1,Positive,Positive
vashe z r gap b lish mumkinmas,5,Neutral,Neutral
best arning apo,5,Positive,Positive
amazing application ever seen please see profile promote,5,Positive,Positive
app capals perfect,3,Positive,Positive
worst,1,Negative,Negative
nice aap,5,Positive,Positive
beautiful girl,5,Positive,Positive
kkkdjenci x kon land kf h mangne,5,Neutral,Neutral
nice nice beautiful,5,Positive,Positive
best update,5,Positive,Positive
nice performance,5,Positive,Positive
kajal kushwaha,5,Neutral,Neutral
people watching lose one star forced gay lbtgqcontent stuff im interested,4,Negative,Positive
help u new thing,5,Positive,Positive
instagram good use properly others know good thing,5,Positive,Positive
good user experience overall inconsistent ui update need fix,4,Positive,Positive
follower continuously dropping last one month even genuine follower counted properly whenever new follower come decrease instead increasing issue demotivating affect growth please fix problem soon possible,1,Positive,Positive
nice work,2,Positive,Positive
nice,5,Positive,Positive
fantastic app,5,Positive,Positive
hey meta instagram would like request feature directly jump reel profile watching feed people post reel part reel uploaded sometimes 67 month back due difficult find,5,Neutral,Negative
yes good use also bad life many people addicted seeing reel wasting time use limited way,4,Negative,Neutral
suck like hell nowadays,1,Negative,Neutral
instagram ruined privacy people like reel follower instagram see everything also content comment posted good quality,1,Positive,Positive
ek number achha video hai,5,Positive,Neutral
cant edit photo,1,Neutral,Neutral
useful small business world wide,5,Positive,Neutral
pls grow follower,5,Positive,Neutral
instagram account say like say talk meta support er live dont wan pay one send 100 time help center u make quick,1,Positive,Neutral
good app meet new people,5,Positive,Positive
niceee guudddd,5,Neutral,Neutral
insta account suspended instagram done anything wrong insta app suspended lost childhood friend please people dont use instagram account onwards requesting people careful instagram waste using instagram given right suspended account lost friend people reback account give friend account list issue facing instagram dont give rating app,1,Negative,Negative
loving plateform whereu like wow technology,5,Positive,Positive
love hai na,5,Positive,Positive
periodically forced watch advertisement entirety order use app condone practice cannot recommend app,1,Negative,Negative
nose app,5,Neutral,Neutral
make famous,4,Neutral,Positive
useful best app,5,Positive,Positive
instagram funny,5,Positive,Positive
great,5,Positive,Positive
ifeelkingeditz ko blue tek,2,Neutral,Neutral
kora app bro,5,Neutral,Neutral
nice application,5,Positive,Positive
app installing plz install app plz install,5,Positive,Neutral
best platform selfgrow,5,Positive,Positive
worst app upload photo cant able upload photo sameregular length width colour uploaded photo also changed,1,Negative,Negative
last2 day instragram properly working suddenly app hangupp outo matical closee frustrated doo thing working plz something thiss,1,Negative,Negative
lovely entertainment joy time pas love friendship update,5,Positive,Positive
like instagram,1,Positive,Neutral
like,4,Positive,Neutral
social medium platform coolinstagram,4,Neutral,Neutral
full musty jai mata bawe walli,5,Neutral,Positive
nice instagram viral video,1,Positive,Positive
view increased,4,Positive,Neutral
mujhe instagram acha laga,5,Neutral,Neutral
good vibe,5,Positive,Positive
dear instagram team account 0nly_cricket56 account working great suddenly dont know happened video stopped getting view please fix,5,Positive,Positive
worse,1,Negative,Negative
like,5,Positive,Neutral
instagram account got hacked reason like havent even changed email password etc hacker hacked without sending otp,1,Negative,Neutral
hot,5,Neutral,Positive
every id getting ban without please fix issue,1,Negative,Neutral
stupid engineer,1,Negative,Negative
suchit,5,Neutral,Neutral
best app world,5,Positive,Positive
great platform four posting reel feeling etc everything,4,Positive,Positive
favorite app,5,Positive,Positive
mast hai bhai,5,Neutral,Neutral
enjoy playing game facebook wish real money would nice lol,5,Positive,Positive
shaik jasu,5,Neutral,Neutral
khub valo lage ei app ta te taim paas valo hoye jay,3,Neutral,Neutral
prem sagar king up50,5,Neutral,Neutral
v good,5,Positive,Positive
nice good god,5,Positive,Positive
please keep pause feature reel necessary,4,Positive,Neutral
super timepass usee fun,5,Positive,Positive
good app,5,Positive,Positive
time slow,1,Neutral,Negative
app best app,5,Positive,Positive
congrats 5 billion downloader,5,Positive,Neutral
super duper,5,Positive,Positive
goodlike,5,Neutral,Neutral
yaar live nahi chlta insta pe,1,Neutral,Positive
nice,5,Positive,Positive
nice,5,Positive,Positive
love instagram,5,Positive,Positive
brooo bae best app everrrr,5,Positive,Positive
positive,5,Positive,Positive
nice bro,5,Positive,Positive
good timpass,5,Positive,Positive
please unfreeze instagram account amitg0786,5,Positive,Neutral
helpful,5,Positive,Neutral
awesome thanks,5,Positive,Positive
like instagram,4,Positive,Neutral
nice app,5,Positive,Positive
video creator,5,Neutral,Neutral
excellent service,5,Positive,Positive
nice,5,Positive,Positive
full whatsapp download,5,Neutral,Positive
second none,5,Neutral,Neutral
brother single get romantic couple reel fond car girl,1,Positive,Neutral
thevudiya thayoli instagram,1,Neutral,Neutral
nice instagram,3,Positive,Positive
tik tok best,1,Positive,Positive
giving indian song etc,1,Positive,Neutral
instagram nice app,5,Positive,Positive
update every day never receive new benefit,1,Negative,Positive
dont get remix reel tag option reel,3,Neutral,Neutral
personal professional page good reason terrible every account nigeria automatically look like spam fraudulent page instagram need better,2,Negative,Neutral
roshan siddrth jadhav,5,Neutral,Neutral
thats amazing app,5,Positive,Positive
shiity app,1,Neutral,Neutral
love mom doesnt allow,5,Positive,Positive
working 2 day later,1,Neutral,Neutral
really like app dependable enjoyable,5,Positive,Positive
ye boi,5,Neutral,Neutral
beautiful app,5,Positive,Positive
wonderful,3,Positive,Positive
vansh ladwal,5,Neutral,Neutral
highly inflammable,5,Neutral,Positive
nice stage talent,4,Positive,Positive
hello dear instagram forgotten password instagram account also number email added sorry worried right want instagram account back request instagram team please help recover id use id requested provide u link readd number email activate account,1,Positive,Neutral
app good,5,Positive,Positive
thats app like,5,Positive,Neutral
adhir adhikary,5,Neutral,Neutral
nuralom 123,2,Neutral,Neutral
pranjal manish tivarekar,5,Neutral,Neutral
instagram na abhi tak bachi hi nhi karai,5,Neutral,Neutral
good thanks,5,Positive,Positive
like app,5,Positive,Neutral
best useful app,5,Positive,Positive
feed nice relatable suddenly anything coming sometimes marathi kannad language reel usually feed hindi english sooo manyy glitchess bug,2,Positive,Neutral
need 10k following instgram id name kritim aryal profiel phone please give 10k follows,5,Positive,Neutral
vedant bhoi,5,Neutral,Neutral
nice app account private crossed age 16 still cant change account private,5,Positive,Positive
instagram happening newly made account got banned freaking reason please back cant open fb ig doesnt important stuff like academic stuff fb account please helpp,1,Negative,Positive
help,5,Positive,Neutral
good,5,Positive,Positive
girl reply issue one reply ugly people platform u platform mingle,1,Negative,Negative
totally unhelpful,1,Neutral,Neutral
keep freezing watching reel audio playing background video stop,4,Negative,Neutral
gud app mera account suspende hogya iski wajah se,5,Neutral,Neutral
best app entertainment,5,Positive,Positive
aamiralvi,5,Neutral,Neutral
moved highlight make tab bring back main page actually highlighted,1,Positive,Neutral
love app,5,Positive,Positive
enjoy,5,Positive,Positive
bandarban password ke id read nahin hoti isliye instagram,1,Neutral,Neutral
live video 1000 follower nahi,5,Neutral,Positive
one useful apps make contact,4,Positive,Positive
facing issue vd,1,Neutral,Neutral
jindgi khrab karne ki chij hai bahut achi bhi hai,5,Neutral,Neutral
wow suepr,1,Positive,Neutral
fantastic platform,5,Positive,Positive
mere phone yeh download hon ke baad yeh aap uninstall ho ja raha hai,1,Neutral,Negative
jann insurance,5,Neutral,Neutral
adhi zindegi isi khtm ho gai,4,Neutral,Neutral
ye sahu se kaam q nahi kar raha hai,1,Neutral,Neutral
app good love app,5,Positive,Positive
awesome app bhai,5,Positive,Positive
bahut achcha excellent instagram,5,Positive,Positive
good,5,Positive,Positive
great experience,5,Positive,Positive
nice,5,Positive,Positive
instagram app never worked well still facing many glitch yes please change update theme please improve,1,Positive,Positive
mere account par live ka option nahi aa rha hai whats happening,2,Neutral,Negative
tranding song show,5,Neutral,Neutral
new feature chahiye,5,Neutral,Positive
cant take screenshots chat pls fix new update able take screenshots didnt like new update,1,Negative,Positive
nice good,5,Positive,Positive
instagram l,5,Neutral,Neutral
instagram rock,5,Neutral,Neutral
showing much ad,1,Neutral,Positive
nice app reel,5,Positive,Positive
best app forever love app,5,Positive,Positive
bad experience worst platform ever case security one hack id bo anything help get instagram also dont know anything fix system made person live mental hospital,1,Negative,Negative
best app ever used,5,Positive,Positive
nice r literally addictedwe r happy instaand wish insta app apps beatwe always support instagramits different others though,5,Positive,Positive
cant use music even story wonder people use tik tok instagram many restriction app fix issue also fix location thing maybe add feature adding photo feature cause update suck bad,1,Negative,Neutral
yes amazing app,5,Positive,Positive
privacy policy good secure app,1,Positive,Positive
prakash 6,4,Neutral,Neutral
cant find marathi song search posting story time glitch,4,Neutral,Neutral
good aplication time pas good contant creating app,5,Positive,Positive
skip reel work,3,Neutral,Neutral
good better good,5,Positive,Positive
superb used app phone,5,Positive,Positive
call,5,Neutral,Neutral
naice app,5,Neutral,Neutral
,5,Neutral,Neutral
kartick bhai,5,Neutral,Neutral
chii poo ga,1,Neutral,Neutral
thank much,5,Positive,Positive
minnat,5,Neutral,Neutral
filling istagram,5,Neutral,Neutral
md aijaj raj 0786,5,Neutral,Neutral
follow list,2,Neutral,Neutral
preeirt,3,Neutral,Neutral
arm f cm 8 ko njj lmko nk,2,Neutral,Neutral
best app reel,5,Positive,Positive
ok famous hona hai,5,Positive,Positive
good quality,5,Positive,Positive
app good useful like app much,5,Positive,Positive
superb,4,Positive,Positive
lock chat system,1,Neutral,Neutral
fake followed community guideline still reel getting uploaded reel uploading problem face cant share reel account activity may follow community standard please reply,1,Negative,Negative
really nice app,5,Positive,Positive
amazing app world favourite app instagram,5,Positive,Positive
fluff solid visuals caption make think make feed better every time scroll,5,Positive,Positive
outstanding,5,Positive,Positive
good appit help reach audience especially small entrepreneur,4,Positive,Neutral
awesome user experience trend,5,Positive,Positive
need support,3,Positive,Neutral
working properly,1,Neutral,Neutral
thanks ruining screenshot issue cant take screenshots chat close one anymore memory capture longer,1,Positive,Positive
excellent,5,Positive,Positive
nicee,5,Neutral,Neutral
problem loading previous message group chat every time,1,Negative,Negative
update update update every day new update whats wrong,1,Negative,Negative
manusha,5,Neutral,Neutral
app beautiful new friend,5,Positive,Positive
good platform share activity show talent,5,Positive,Positive
arain,4,Neutral,Neutral
good app,5,Positive,Positive
im happy help rating thought 500word review might bit lengthy here detailed review masterpiece resonates deeply im utterly blown away creativity attention detail went crafting experience moment immersed knew something special way captured essence favorite song nothing short magical every element visuals audio came together seamlessly create,5,Positive,Positive
syed ameen hello instagram,5,Neutral,Neutral
veeeery good,5,Positive,Positive
lx sobuj 320,5,Neutral,Neutral
best app world,5,Positive,Positive
playing audio reel youre seeing even switching another page two audio sometimes insanity,1,Negative,Neutral
instagram terrible horrible permanently deletes account never let recover lose photo video story youve saved instagram doesnt offer solution uninhabited deleted account lose photo video story forever without warning giving explanation reason theyve permanently disabled account disaster monumental catastrophe meta,1,Negative,Negative
got kicked without reason lost 2k follower,4,Positive,Neutral
follower count glitching good,1,Positive,Positive
never thought much instagram good appreciate,5,Positive,Positive
gooooodddd apppp,5,Neutral,Neutral
responded kindly reduce,5,Positive,Positive
pls check id sohit_gupta9265,5,Positive,Neutral
best play store,5,Positive,Positive
gud,5,Neutral,Neutral
love fre e fire,5,Positive,Positive
amazing application problem account get blocked regularly,5,Neutral,Positive
wow new version,4,Positive,Positive
good good,5,Positive,Positive
aap useful,5,Positive,Positive
easy use app,5,Positive,Positive
iimi,3,Neutral,Neutral
searched instagram playstore snapchat pop issue needed solved contact google pls,5,Positive,Neutral
app full bug,1,Neutral,Positive
deepakmeena,3,Neutral,Neutral
dont give notification facebook thread app annoying wanted see stuff friend shanghaied onto rest bad apps,2,Negative,Negative
thanks instagram beautiful app,5,Positive,Positive
great opportunity show skill,5,Positive,Positive
faatest_platform _for reel,5,Neutral,Neutral
armanpatan,1,Neutral,Neutral
use app worth using fraud scammer uninstall app report app,1,Negative,Positive
nice public app,4,Positive,Positive
best app entertainment life related reel quote stay connected people,5,Positive,Positive
webp app getting worse update cannot scroll read old 23days message,1,Negative,Negative
nice app posting reel story take much time,5,Positive,Positive
beginner content creator loved app,5,Positive,Positive
good app people make fake id playing feeling people good please available one id id thankyou,5,Positive,Positive
security staff verbal abusing,1,Negative,Neutral
people following page showing follower tab,1,Neutral,Neutral
mast mast nice bro,5,Positive,Positive
crack lodhi,5,Neutral,Neutral
january,5,Neutral,Neutral
happy,5,Positive,Positive
well havent long amazing please difficult video fly around,3,Negative,Positive
super,5,Positive,Positive
suvam kumar,5,Neutral,Neutral
beautiful app favorite app please support app,1,Positive,Positive
life instagram,5,Neutral,Neutral
teen safety need private,1,Positive,Neutral
love music option,5,Positive,Positive
many gilch buy,4,Neutral,Positive
good app,4,Positive,Positive
esko koi bhi download mat kro yah app pahle apna lat dharayega phir apka hi id bina koi reason ka suspend kar dega 3 sal se ek id use kar rha tha achha bhi id tha per insta manegement mera id hi suspend kar diya,1,Negative,Neutral
neelwwwtcom,5,Neutral,Neutral
instagram showing restyle option please fix issue,5,Positive,Neutral
best social medium platform,5,Positive,Positive
intrest,5,Neutral,Neutral
update nice like im unable post reel whatsapp status dont know ive uninstalled installed ig,3,Positive,Neutral
lovely,5,Positive,Positive
trying login since last 2 day able login even filling captcha correctly happening,1,Neutral,Positive
good app time waste,1,Neutral,Positive
osm experience,5,Neutral,Neutral
good dont push video go viral,3,Positive,Positive
stable right,5,Positive,Positive
wow app,5,Positive,Neutral
havent yet cant get app,3,Neutral,Neutral
best aap,3,Positive,Positive
love instagram,5,Positive,Positive
favorite app,5,Positive,Positive
cool entertainment,5,Positive,Positive
fake follower,5,Negative,Negative
happening instagram id getting problem login happened able get still facing problem yesterdaywhat suddenly happened able login forgotten password also working,1,Negative,Positive
good slutyish stuff fan facebook,5,Positive,Positive
maganda mag picture,5,Neutral,Neutral
insta account disabled without hard reason please help recover,1,Positive,Negative
ai made instagram ban account,1,Negative,Neutral
anime,5,Neutral,Neutral
help full,4,Positive,Positive
really amazing app,5,Positive,Positive
perfection instagram,5,Positive,Neutral
fabolous,5,Neutral,Neutral
funny,5,Positive,Positive
used wasted almost 28 min realised,1,Negative,Negative
useless,5,Negative,Negative
aap emotion,5,Neutral,Neutral
nice use,5,Positive,Positive
sanjay kumar,4,Neutral,Neutral
exlent app time spend,5,Neutral,Neutral
unable switch professional account personal account even trying everything frustrated,1,Negative,Negative
dirty app id suspend without reason,1,Negative,Negative
instagram good social medium app work,5,Positive,Positive
madarsud app,5,Neutral,Neutral
got manny new friend throughout apppretty good filter etc,4,Positive,Positive
suspended,2,Negative,Neutral
good,5,Positive,Positive
bad social medium app,1,Negative,Negative
log password glitch,1,Neutral,Neutral
download instagram,5,Neutral,Neutral
best invasion human thanks,5,Positive,Positive
instagram per next ke option ja raha hai login nahin ho raha hai,5,Neutral,Neutral
imsges get automatically recropoed press next app crash time unskippable ad make close app bruh,1,Negative,Neutral
love app please viral video personally request instagram love everyday post video favorite aap one instagram pls insta know much love app mere video ki viwes kyu nahi badhteim disappointed l love app please increase view video followershi instagram app super really like app video clarity super se uper number 1 app,5,Positive,Positive
myyy fav app,5,Positive,Neutral
using instagram many year suddenly dont understand happened working good asking verification thing using many year happened suddenly 2 day suffering login thing able connect another account good instagram request check resolve problem,1,Positive,Positive
app actually fantastic app,1,Positive,Positive
type,4,Neutral,Neutral
achcha hai post dekh sakte sabki bacche bigad rahe hain,3,Neutral,Neutral
nagloloko iba emoji lumalabas pang android,1,Neutral,Neutral
bhot badiyaa app,5,Neutral,Neutral
bekar tension,1,Negative,Neutral
app good ban app app good instagram,5,Positive,Positive
good app sometimes suck alot like right messaging option available every possible way tried,3,Positive,Positive
entertaining,5,Positive,Positive
nice appreciate,4,Positive,Positive
beautiful app,5,Positive,Positive
wonderful,5,Positive,Positive
good friend,1,Positive,Positive
iehssh,5,Neutral,Neutral
best platform earning,5,Positive,Positive
trash app,5,Neutral,Neutral
showing instagram isnt responding many time uninstalled install still showing instagram isnt responding,1,Neutral,Positive
enjoying,5,Positive,Positive
enjoy much,5,Positive,Positive
best talk girlfriend,5,Positive,Positive
islamic content,5,Neutral,Neutral
till nice experience,5,Positive,Positive
amazing,4,Positive,Positive
best app ever used,5,Positive,Positive
vare vare good,5,Positive,Positive
instagram new ai moderation deeply disappointing falsely accused something never done would ever 3 year account banned without real evidence explanation false accusation hit new account family man unfair personally hurtful labeled way shared positivity silenced baseless ai judgment feel devastating unjust,1,Negative,Negative
changed reel pause tap screen instead mute reporting month havent heard back anything app suck,1,Negative,Neutral
awful hire engineer back horriblefrom ui functionality,1,Negative,Negative
good app,5,Positive,Positive
sachin nilesh,5,Neutral,Neutral
even deserve one star dirtiest app ever u losse time resourcesplz,1,Negative,Neutral
instagram nice app please reel viral,5,Positive,Positive
soooooooo,5,Neutral,Neutral
nice interact,5,Positive,Positive
disgusting,1,Negative,Negative
good information instagram,5,Positive,Positive
yash kumar 1113,5,Neutral,Neutral
purchasing offer facebook instagrammy instagram showing captcha againwhat happen,5,Neutral,Neutral
cool,5,Positive,Positive
supar,5,Neutral,Neutral
instagram getting bad since update itwhy sound story always gone sound reel sound archive gone instagram delete archive story know dont many follower wanna keep memory watch need 1000 follower live instagram lately always live private account 4 follower nowadays cannot anymore please fix back like please im begging,1,Negative,Neutral
account suspended unknown reason,1,Negative,Neutral
best app ever seen,5,Positive,Positive
everything video quality excellent,5,Positive,Positive
please review system first enjoying deleting everyone account valid proof proof dont show u community guideline delete account,1,Positive,Positive
cant login stuck captcha help paid verified subscription serve customer,1,Positive,Neutral
nice app bahut ax hai,5,Positive,Positive
awesome experience,5,Positive,Positive
ankitprajapati,5,Neutral,Neutral
poor,1,Negative,Negative
reel viral nhi ho raha hai,3,Neutral,Neutral
roll number 81,1,Positive,Neutral
account got suspended without reason didnt post sexual activity orr go comunity guideline still account got suspended like open new account go suspend acc,1,Negative,Positive
incredibly difficult make recover account used mainly one account hacked tried recover account via code sent phone number knew mine always triple check phone number code sent sm need simpler andor streamline way help people recover account please let able receive code sent sm ill change review get access account back,1,Negative,Neutral
supporting talent,1,Positive,Positive
privacy,5,Neutral,Neutral
word awesome,5,Positive,Positive
interested application bugfull problem app,1,Neutral,Positive
good app working well,3,Positive,Positive
love something going note started happen every timei try put note second dissappears reason,5,Positive,Positive
instagram best please improve reel follower,5,Positive,Positive
brilliant,5,Positive,Positive
meri duniya tum hi ho tum hi aasra,5,Neutral,Neutral
amazing app,5,Positive,Positive
