Content,score
enjoy playing game facebook wish real money would nice lol,5
shaik jasu,5
khub valo lage ei app ta te taim paas valo hoye jay,3
prem sagar king up50,5
v good,5
nice good god,5
please keep pause feature reel necessary,4
super timepass usee fun,5
good app,5
time slow,1
app best app,5
congrats 5 billion downloader,5
super duper,5
goodlike,5
yaar live nahi chlta insta pe,1
nice,5
nice,5
love instagram,5
brooo bae best app everrrr,5
positive,5
nice bro,5
good timpass,5
please unfreeze instagram account amitg0786,5
helpful,5
awesome thanks,5
like instagram,4
nice app,5
video creator,5
excellent service,5
nice,5
full whatsapp download,5
second none,5
brother single get romantic couple reel fond car girl,1
thevudiya thayoli instagram,1
nice instagram,3
tik tok best,1
giving indian song etc,1
instagram nice app,5
update every day never receive new benefit,1
dont get remix reel tag option reel,3
personal professional page good reason terrible every account nigeria automatically look like spam fraudulent page instagram need better,2
roshan siddrth jadhav,5
thats amazing app,5
shiity app,1
love mom doesnt allow,5
working 2 day later,1
really like app dependable enjoyable,5
ye boi,5
beautiful app,5
wonderful,3
vansh ladwal,5
highly inflammable,5
nice stage talent,4
hello dear instagram forgotten password instagram account also number email added sorry worried right want instagram account back request instagram team please help recover id use id requested provide u link readd number email activate account,1
app good,5
thats app like,5
adhir adhikary,5
nuralom 123,2
pranjal manish tivarekar,5
instagram na abhi tak bachi hi nhi karai,5
good thanks,5
like app,5
best useful app,5
feed nice relatable suddenly anything coming sometimes marathi kannad language reel usually feed hindi english sooo manyy glitchess bug,2
need 10k following instgram id name kritim aryal profiel phone please give 10k follows,5
vedant bhoi,5
nice app account private crossed age 16 still cant change account private,5
instagram happening newly made account got banned freaking reason please back cant open fb ig doesnt important stuff like academic stuff fb account please helpp,1
help,5
good,5
girl reply issue one reply ugly people platform u platform mingle,1
totally unhelpful,1
keep freezing watching reel audio playing background video stop,4
gud app mera account suspende hogya iski wajah se,5
best app entertainment,5
aamiralvi,5
moved highlight make tab bring back main page actually highlighted,1
love app,5
enjoy,5
bandarban password ke id read nahin hoti isliye instagram,1
live video 1000 follower nahi,5
one useful apps make contact,4
facing issue vd,1
jindgi khrab karne ki chij hai bahut achi bhi hai,5
wow suepr,1
fantastic platform,5
mere phone yeh download hon ke baad yeh aap uninstall ho ja raha hai,1
jann insurance,5
adhi zindegi isi khtm ho gai,4
ye sahu se kaam q nahi kar raha hai,1
app good love app,5
awesome app bhai,5
bahut achcha excellent instagram,5
good,5
great experience,5
nice,5
instagram app never worked well still facing many glitch yes please change update theme please improve,1
mere account par live ka option nahi aa rha hai whats happening,2
tranding song show,5
new feature chahiye,5
cant take screenshots chat pls fix new update able take screenshots didnt like new update,1
nice good,5
instagram l,5
instagram rock,5
showing much ad,1
nice app reel,5
best app forever love app,5
bad experience worst platform ever case security one hack id bo anything help get instagram also dont know anything fix system made person live mental hospital,1
best app ever used,5
nice r literally addictedwe r happy instaand wish insta app apps beatwe always support instagramits different others though,5
cant use music even story wonder people use tik tok instagram many restriction app fix issue also fix location thing maybe add feature adding photo feature cause update suck bad,1
yes amazing app,5
privacy policy good secure app,1
prakash 6,4
cant find marathi song search posting story time glitch,4
good aplication time pas good contant creating app,5
skip reel work,3
good better good,5
superb used app phone,5
call,5
naice app,5
,5
kartick bhai,5
chii poo ga,1
thank much,5
minnat,5
filling istagram,5
md aijaj raj 0786,5
follow list,2
preeirt,3
arm f cm 8 ko njj lmko nk,2
best app reel,5
ok famous hona hai,5
good quality,5
app good useful like app much,5
superb,4
lock chat system,1
fake followed community guideline still reel getting uploaded reel uploading problem face cant share reel account activity may follow community standard please reply,1
really nice app,5
amazing app world favourite app instagram,5
fluff solid visuals caption make think make feed better every time scroll,5
outstanding,5
good appit help reach audience especially small entrepreneur,4
awesome user experience trend,5
need support,3
working properly,1
thanks ruining screenshot issue cant take screenshots chat close one anymore memory capture longer,1
excellent,5
nicee,5
problem loading previous message group chat every time,1
update update update every day new update whats wrong,1
manusha,5
app beautiful new friend,5
good platform share activity show talent,5
arain,4
good app,5
im happy help rating thought 500word review might bit lengthy here detailed review masterpiece resonates deeply im utterly blown away creativity attention detail went crafting experience moment immersed knew something special way captured essence favorite song nothing short magical every element visuals audio came together seamlessly create,5
syed ameen hello instagram,5
veeeery good,5
lx sobuj 320,5
best app world,5
playing audio reel youre seeing even switching another page two audio sometimes insanity,1
instagram terrible horrible permanently deletes account never let recover lose photo video story youve saved instagram doesnt offer solution uninhabited deleted account lose photo video story forever without warning giving explanation reason theyve permanently disabled account disaster monumental catastrophe meta,1
got kicked without reason lost 2k follower,4
follower count glitching good,1
never thought much instagram good appreciate,5
gooooodddd apppp,5
responded kindly reduce,5
pls check id sohit_gupta9265,5
best play store,5
gud,5
love fre e fire,5
amazing application problem account get blocked regularly,5
wow new version,4
good good,5
aap useful,5
easy use app,5
iimi,3
searched instagram playstore snapchat pop issue needed solved contact google pls,5
app full bug,1
deepakmeena,3
dont give notification facebook thread app annoying wanted see stuff friend shanghaied onto rest bad apps,2
thanks instagram beautiful app,5
great opportunity show skill,5
faatest_platform _for reel,5
armanpatan,1
use app worth using fraud scammer uninstall app report app,1
nice public app,4
best app entertainment life related reel quote stay connected people,5
webp app getting worse update cannot scroll read old 23days message,1
nice app posting reel story take much time,5
beginner content creator loved app,5
good app people make fake id playing feeling people good please available one id id thankyou,5
security staff verbal abusing,1
people following page showing follower tab,1
mast mast nice bro,5
crack lodhi,5
january,5
happy,5
well havent long amazing please difficult video fly around,3
super,5
suvam kumar,5
beautiful app favorite app please support app,1
life instagram,5
teen safety need private,1
love music option,5
many gilch buy,4
good app,4
esko koi bhi download mat kro yah app pahle apna lat dharayega phir apka hi id bina koi reason ka suspend kar dega 3 sal se ek id use kar rha tha achha bhi id tha per insta manegement mera id hi suspend kar diya,1
neelwwwtcom,5
instagram showing restyle option please fix issue,5
best social medium platform,5
intrest,5
update nice like im unable post reel whatsapp status dont know ive uninstalled installed ig,3
lovely,5
trying login since last 2 day able login even filling captcha correctly happening,1
good app time waste,1
osm experience,5
good dont push video go viral,3
stable right,5
wow app,5
havent yet cant get app,3
best aap,3
love instagram,5
favorite app,5
cool entertainment,5
fake follower,5
happening instagram id getting problem login happened able get still facing problem yesterdaywhat suddenly happened able login forgotten password also working,1
good slutyish stuff fan facebook,5
maganda mag picture,5
insta account disabled without hard reason please help recover,1
ai made instagram ban account,1
anime,5
help full,4
really amazing app,5
perfection instagram,5
fabolous,5
funny,5
used wasted almost 28 min realised,1
useless,5
aap emotion,5
nice use,5
sanjay kumar,4
exlent app time spend,5
unable switch professional account personal account even trying everything frustrated,1
dirty app id suspend without reason,1
instagram good social medium app work,5
madarsud app,5
got manny new friend throughout apppretty good filter etc,4
suspended,2
good,5
bad social medium app,1
log password glitch,1
download instagram,5
best invasion human thanks,5
instagram per next ke option ja raha hai login nahin ho raha hai,5
imsges get automatically recropoed press next app crash time unskippable ad make close app bruh,1
love app please viral video personally request instagram love everyday post video favorite aap one instagram pls insta know much love app mere video ki viwes kyu nahi badhteim disappointed l love app please increase view video followershi instagram app super really like app video clarity super se uper number 1 app,5
myyy fav app,5
using instagram many year suddenly dont understand happened working good asking verification thing using many year happened suddenly 2 day suffering login thing able connect another account good instagram request check resolve problem,1
app actually fantastic app,1
type,4
achcha hai post dekh sakte sabki bacche bigad rahe hain,3
nagloloko iba emoji lumalabas pang android,1
bhot badiyaa app,5
bekar tension,1
app good ban app app good instagram,5
good app sometimes suck alot like right messaging option available every possible way tried,3
entertaining,5
nice appreciate,4
beautiful app,5
wonderful,5
good friend,1
iehssh,5
best platform earning,5
trash app,5
showing instagram isnt responding many time uninstalled install still showing instagram isnt responding,1
enjoying,5
enjoy much,5
best talk girlfriend,5
islamic content,5
till nice experience,5
amazing,4
best app ever used,5
vare vare good,5
instagram new ai moderation deeply disappointing falsely accused something never done would ever 3 year account banned without real evidence explanation false accusation hit new account family man unfair personally hurtful labeled way shared positivity silenced baseless ai judgment feel devastating unjust,1
changed reel pause tap screen instead mute reporting month havent heard back anything app suck,1
awful hire engineer back horriblefrom ui functionality,1
good app,5
sachin nilesh,5
even deserve one star dirtiest app ever u losse time resourcesplz,1
instagram nice app please reel viral,5
soooooooo,5
nice interact,5
disgusting,1
good information instagram,5
yash kumar 1113,5
purchasing offer facebook instagrammy instagram showing captcha againwhat happen,5
cool,5
supar,5
instagram getting bad since update itwhy sound story always gone sound reel sound archive gone instagram delete archive story know dont many follower wanna keep memory watch need 1000 follower live instagram lately always live private account 4 follower nowadays cannot anymore please fix back like please im begging,1
account suspended unknown reason,1
best app ever seen,5
everything video quality excellent,5
please review system first enjoying deleting everyone account valid proof proof dont show u community guideline delete account,1
cant login stuck captcha help paid verified subscription serve customer,1
nice app bahut ax hai,5
awesome experience,5
ankitprajapati,5
poor,1
reel viral nhi ho raha hai,3
roll number 81,1
account got suspended without reason didnt post sexual activity orr go comunity guideline still account got suspended like open new account go suspend acc,1
incredibly difficult make recover account used mainly one account hacked tried recover account via code sent phone number knew mine always triple check phone number code sent sm need simpler andor streamline way help people recover account please let able receive code sent sm ill change review get access account back,1
supporting talent,1
privacy,5
word awesome,5
interested application bugfull problem app,1
good app working well,3
love something going note started happen every timei try put note second dissappears reason,5
instagram best please improve reel follower,5
brilliant,5
meri duniya tum hi ho tum hi aasra,5
amazing app,5
app really good thing actually pretty much better app thing didnt like cant hide like everyone see reel liked ig option showing hiding like,4
coll paroblam,5
good service,5
please optimize app samsung galaxy fold 7 foldables,1
nice place time pas,5
meri reel viral krdo jo aaj dali hai 5star rate krdiya hai tumko,5
awesome,5
ad nothing ad,1
create group chat slows request developer provide faster service,4
instagram helpful plateform time pas plateform chatting seting mast,5
uninstalled,1
cant update app,1
fantastic,5
best app found play store instagram loved good uploading story many glitch faced uploading story please fix,4
thes nice app reel nice,5
perfect,5
bhai a1 app aahe hi,5
thank,5
great experience,5
always enjoyed using instagram account everything easy use,5
new experience free life,5
782774 27 ok e zz xx xx zz xx zz xx tzc s cc x xx,4
creating named account,1
mast hai,5
amazing editing like,5
dommetiran,1
instagram give best performance sometimes toubles opening posting please support side,5
prefer old instagram since bought app junk,1
weast app,5
insta helpful platform doesnt work neat clean tablet version feature missing reel missing tablet version stedy doesnt support somethings,2
good amazing app love,5
amazing app,5
well enjoy much,4
story problem uploading solved fast,1
dear instgram team im problem went open instagram account show sorry couldnt complete request track later moment still follow community guideline please fix problem,1
wonderful app useful daily work,5
thanku,5
kya bete aur bta kaisa hai,1
changed phone im able login account ive trying since 2 day easily login im old phone new say incorrect password changed,1
didnt showing pause option reel bad,5
compressed video uploads version instagram way worse version iphones creator cant android,1
please make page grow quickly,5
addiction,5
good intrested,5
good,5
cant log acc tap reset password sends mail click say something went wrong try log acc pas say incorrect pas pas correct put put another phone log whats wrong guy personal issue try reset pas putting phone give every id instead main id want recover whyyyyyyyy,1
application amazing,5
follow new profile,5
wasnt bad experience,5
instagram many issue beyond shoehorning reel great photo platform,5
best app world give fun board see instagram best app use app entertainment love app,5
need viral,1
bhaut bhadiya hai,5
instagram change life bounce gift option,5
mere instagram mein like live nahin ho raha hai,5
zor 4k ga oz qoldim alhamdurillah,5
pls update id id updated new update id,4
im unable choose audio public used user also im unable see full follow request stop around 20 people,1
adipoli,5
thank yrr aap ke wajah se pata chal ki indian payri ladki bhi hai,5
network issue h bahot jayada,1
nice enjoy,5
best,4
scam effort exposed nobody follows money making app worst social shitwork ever like another everyone especial mediocricy dilutes real talent,1
plz fix bug seeing story,1
lajwaab,5
good,5
best apk,5
good result,5
many ad ad break,2
id login problem,1
stop reel watching,1
mera instagram downloading nahin hota hai,1
superb learn thing instagram,5
superb love instgram always,5
thank,5
convenient use,5
new map update ig wont allow login app super frustrating ive changed password yet still get recaptcha puzzle verify identity still get forced personal account account hacked still access business account us password better instagram unacceptable,2
instagram awesome,5
amazing social app,5
hello instagram team last 12 day many user facing problem instagram please solved problem,5
caption neededann data,5
instagram cant sent code,1
plz mujhe koii karo,1
insta good aap good reel upload palyedfarm good responesreels aap time good aap,5
horribly optimised compared io counterpart extremely buggy,1
