Content,score,VADER_Sentiment
iam unable create demat account zerodha form past 1 month show otp procedure iam loosing patience slowly zerodha even one star please sort problem thank,1,Positive
excellent,5,Positive
super,5,Positive
nice informative customer support,5,Positive
good trading platform,5,Positive
best app currently indian financial market,5,Positive
best trading app india great job,5,Positive
veri good,5,Positive
tfc still available app kb hoga bhai ek saal baad,1,Neutral
excellent app support service,5,Positive
amazing app easy secure app,5,Positive
great service nd smoothly running,5,Positive
happy good app,5,Positive
best feature app connection time error fetching bank detail even full 5g network wifi best feature saving retailer money stock market losseven sebi failed,1,Positive
zerodha user since 2019 bet nobody match elegance zerodha,5,Positive
tried sign spent 20 minute app interface worst seems useless app,1,Negative
nice,5,Positive
zerodha doesnt trailing stoploss feature like trading brokerage platform,3,Positive
would like suggest feature improvement could enhance user experience would helpful wishlist widget home screen user quickly add monitor stock mutual fund interested havent yet bought widget could provide realtime price update quick access add watchlist portfoliomaking easier user keep eye potential investment without navigating away homescreen,3,Positive
zerodha learn groww app,1,Neutral
great,5,Positive
operator option trading,1,Neutral
customer support jst wow,5,Positive
vood,5,Neutral
nice experience zerodha best wish future journey,5,Positive
use one app like want new relat finance ad want se stock etc platform providing one would better experience mor easy use,2,Positive
user friendly interfaceapplication zerodha provide general calculator normal calculator good application good support,5,Positive
dear team number watch list column limited request keep option create maximum number watch list column row last updated version increase watch list raw abrasing see equity index option update please keep option increase watch list column raw helping see category wise share equity index future option view please work load chart faster loading slow waiting far,3,Positive
superb,5,Positive
good app data chart take time refresh,2,Positive
please add feature like broking firm app,1,Positive
smooth convenient love operate,5,Positive
service quality zerodha number one among broker whole india,5,Positive
wonderful,5,Positive
badiya hai,5,Neutral
transparent easy use go,5,Positive
stop loss placement horrible app learn something grow,1,Negative
sl target treated please dont use app waste dont u,1,Positive
best broker app found,5,Positive
worst customer care zerodha amount withdrawal process late moment slow,1,Negative
good clean ui feature like scan login pc needed typing password enter app code like multiple step login please look also adding unwanted feature important feature like scan login like basic necessary lack,3,Positive
love aap use aap easy update many thing useful investor time time fo analysis easy sensibul give feedback trying trade fo buy issue brokerage charge high trade 1 lot im starting new aap provide zero brokerage also provide plan small little trader fo intaday 20 r everyone justify shift demat account compulsion,4,Positive
please give u watchlist sorting market cap,4,Positive
bring watchlist like kite web immediately,4,Positive
excellent service,5,Positive
need improvement app,4,Positive
multichart feature available kite app zerodha almost broker already providing multichart feature mobile apps zerodha yet also please add killswitch feature kite app well,5,Positive
best investment app,5,Positive
best market,5,Positive
good customer service,5,Positive
superb service,5,Positive
demate account zerodha due upgradation bank change upi id kotak new upi id kotak811 upgradation new upi showing zerodha due apply ipo upi mendate received new apgraded bank app please resolve issue soon possible,2,Positive
poor service tried many time register zerotha paying 1 returned account immediately happened many time,1,Negative
doubt l query regarding trading easily communicate zerodha support apps providing facility telephone thankyou zerodha,4,Positive
change indicator name ichimoku cloud showing wrong change software sensibull app like ichimoku cloud indicator show perfect signal indicator please fix faced lot loses following wrong signal,5,Neutral
great one,5,Positive
polite cooperative person interacted future zerodha seems bright far team chose concerned,5,Positive
excellent app futuristic trading experience,5,Positive
good great help,4,Positive
please update company logo whach list stock logo,2,Positive
please make user friendly approach reach support encounter lot hurdle,1,Positive
good bed average,3,Positive
gud service,5,Neutral
truly deserve 5 5 rating,5,Positive
zerodha become fraudulent employee named rajesh make suffer loss due internal server issue ask raise complaint issue next step ask wait month two issue remains unresolved go broker instead zerodha,1,Negative
best trading app,5,Positive
best platform trade,5,Positive
nyc app good facility provides,5,Positive
poor service money drawl good faith upon zerodhai need money todaybut zerodha allow withdrawvery poor serviceplz go another broker,1,Positive
bogus app chart work many time properly stop loss hit many time take 20 r per transaction app taking 10 5 r per transaction,1,Negative
excellent app trading mutual fund user friendly quick customer response,5,Positive
user interface good,5,Positive
instant withdrawal changed 900 400 1000 400 trap beginner trader liquidate changed previous rule protect,1,Positive
love app invest long term show breakdown buy stock purchased long period fundamental tijori technical streak 52week chart line tap stock name overall experience great need proper tooltips explain technical term like scrip peetc inapp 910 rating zerodha remove nice feature guy count update review rating,5,Positive
horrible experience withdrawal worst,1,Negative
fundamental section kite app working keep loading endlessly never show data,1,Neutral
good supper fast,5,Positive
best app lowest brokerage fee intraday,5,Positive
quantity option buy sell,1,Neutral
good,5,Positive
lack communication ive problem opening trading view app ive called many time one solve problem,1,Negative
favourite platform since year,5,Neutral
quick easy,5,Positive
excellent guideline,5,Positive
user friendly ui one click connect customer service insight analysis market trend next level,5,Positive
excellent,5,Positive
outstanding,5,Positive
good support team,5,Positive
support portal extremely helpful,5,Positive
nic app,4,Neutral
exillant,5,Neutral
favourite broker,5,Neutral
zerodha safest secure broker customer get quick response curie raised proper way cheapest discount broker per individual calculation zerodha,5,Positive
overall app work desktop better dont like use app otp use desktop make wait 1 minute sending sm,3,Positive
unable see app mobile screen,5,Neutral
improving day day keep zerodha kite,5,Positive
super app,5,Positive
problem zerodha plusses huge compared minus literally tried every broker ultimately returned zerodha best experience simple app detailed faq wonderful ecosystem supporting apps best thing zerodha informed customer care seen expertise broker dont think join without doubt,5,Positive
pls update new future,5,Positive
expand watchlists capacity 50,4,Positive
simple nice,5,Positive
function chart fo work please test customer responsibility zerodhas survival professional software feature tester dedicate time fee,3,Positive
feature request many people trade commodity mcx close 1130 international trading keep going almost around clock mcx price generally derived international price adding international price market close approximate indian rupee trader prepared expect mcx open,4,Positive
mujhe iske alawa koi dusra broker pasand hi nahi hai,5,Neutral
look ethical,5,Positive
login issue pan verification issue highway train time applicable open pan verification pan verification showing,1,Neutral
best trading app,5,Positive
good,5,Positive
user friendly progressive platform support staff understand explain patiently resolve query,5,Positive
fast lightweight app transaction breeze app,5,Neutral
scam app india,1,Negative
easy use customer care service good,5,Positive
easy use,5,Positive
glad lot improvement keep goin,5,Positive
great app immediate support,5,Positive
please add watchlistportfoliowide news section help quicker market decision showing related stock news item would give better context would make easier track news affect entire watchlistportfolio real time,3,Positive
1 ghatiya app sl lagane ki screen alag target lagane ki screen alag trade update karne ke liye alag process hai chart move hote nahin mobile per trade update karne jao kahin dikhta nahin ki profit ya loss ka amount kitna hai bus trade execution mein perfect hai app iske alawa kuch bhi benefit nahin hai app ka itna time kiske pas hai multiple screen mein jake sl target aur trade update kare single place mein hona chahiye like angelone groww,1,Positive
smooth experience last 6 year best customer support,5,Positive
app functionality slow,1,Neutral
nice app,5,Positive
nice advanced app,5,Positive
zerodha kite app smooth easy use best stock trading request please launch crypto trading platform sam uistyle clean design even better performance make zerodha unbeatable,5,Positive
zerodha best trading investing app cheapest best india one brokerage app hai zerodha thanks,5,Positive
excellent customer service,5,Positive
amazing showing candlestick pattern,4,Positive
current update make app version slow operate many time able execute trade make sl due delay hence loss team zerodha please update app solution app malfunction,2,Neutral
pls bring option invest foreign stock also go another app open account againit seems pathetic,2,Negative
v nice,5,Positive
best financial service,5,Positive
unable download,1,Neutral
useful,5,Positive
highly knowledge people understand issue quickly well mannered polite solving issue supporting thanks supportive team im happy,5,Positive
super,5,Positive
bad customer service,1,Negative
impressive,5,Positive
demet app switch account option app,3,Neutral
zarodha best application trading,5,Positive
best app among category,5,Positive
good trading platform beginner also,5,Positive
good could better,4,Positive
able open fundamental page app,1,Neutral
guod,5,Neutral
good experience,5,Positive
easy operate satisfied site,5,Positive
highly recommended everyone,5,Positive
nice app,5,Positive
thank supporting problem,5,Positive
best app im using option trending,5,Positive
super nice,5,Positive
customer care service good,5,Positive
good trusted app good feature app one feature also inducted open interest change open interest bar inducted index chart stock chart option trading carried facilitate option trading,5,Positive
life,5,Neutral
staning layout,5,Neutral
ddpi enable,1,Neutral
cant pledge holding using mobile please look fix working perfectly fine laptop,3,Positive
bekar app hai kuch sahi se kaam nahi karta,1,Neutral
review modified working fine frequent crash suggestion way remove booked position display position tab sure lot people might asked filter,4,Positive
use waste useless app know happening zerodha app developer set live time app trading play major role watching candle closing time broker giving live time bother zerodha team dhan app also show live time see closing time candle use useless zerodha app weve take help mobile track time whats use using,1,Negative
zerodha chart interface excellent clear intuitiveand insightfulhowever order execution especially stoploss order unreliableabout 3 5 timesmy stoploss doesnt trigger properlyresulting unexpected loss fixing would make tha platform truly topnotch,3,Positive
much disappointed tried open new account gave permission link digi locker everything repeatedly got stuck page even successful information fetching seems like zerodha needed document fetch data government document giving 1 star,1,Positive
forced change opinion worst app experience trading apps even opening umpteen time reinstalled,1,Negative
easy use app,5,Positive
best man nithin kamath,5,Positive
nice application day time working slow suggest think work fast please,3,Positive
new update showing data event,3,Neutral
wrost app always hanging fundamental option opening many time buy sell,1,Neutral
update app able see fundamental option chain click open wait wait update work properly see financial event one click upset good use app,2,Positive
poor charge cut hota hai koi fix nhi pese cut kar lete hai mera 400 r cut kar liya jo mene koi bhi trading nhi ki thi fir bhi bad app hai se better angle demat app hai,1,Negative
waste time lot glitch,1,Negative
stock added watchlist ltp time addition displayed track stock easier,5,Positive
please provide option chain chart,2,Positive
fund withdrawal,5,Neutral
satisfied solution,5,Positive
user friendly app good app trading,5,Positive
happy zerodah especially support team,5,Positive
desktop version iq chart perfect trading view chart missing two main important thing 1 tool save option 2 chart drawing save restriction clear issue,4,Positive
using app since last many year hasselfree today first time experienced problem getting cmr could resolved even speaking customer care executive raising ticket,3,Positive
best broker someone interested investing someone looking trading one look broker reason zerodha offer option trail stop loss automatically earlier used offer option removed citing sebi restriction bo broker offering tool ie angel one would really appreciate feedback considered moving broker,5,Positive
add feature script newslike stock moving update latest news specific stock,4,Neutral
didnt difficulty using zerodha customer support good happy customer,5,Positive
third class application play store bed bakvas third class application word dont download third class application word,1,Positive
good app trading,5,Positive
good response,5,Positive
trader app fraud time sell u r trade without notice happens lot nift50 banknifty happened july firstweek 2025,1,Negative
courteous knowle,5,Positive
best market,5,Positive
cant sign get otp repeatedly cant sign worst experience,1,Positive
platform best user interface best support team,5,Positive
instant solution,5,Positive
7 year zerodhavery fast neat clean app,5,Positive
exalant support team,5,Positive
indicator working option chart tradingview,2,Neutral
since long using zerodha platform happy service also customer care also supportive fast resolution query,5,Positive
super app please bring feature get detail dividend received stock holding app self along considering calculating irr,5,Positive
nice customer service support,4,Positive
fundamental loading correctly,2,Neutral
pls zerodha chart par 360 trading mobile aap update karo chart iq,5,Positive
install application mobile tried everything mentioned article,1,Neutral
zerodha good app small flaw cannot ignored 1 home menu like upstox hope zerodha team fix small flaw next update,4,Positive
like app request implement buy chart kite app,4,Positive
best useless fundamental technical etc function working stock despite good internet connection basket function doesnt edit option fo segment activitation possible app crash p ive snapdragon gen 3 phone mobile hardware issue,1,Negative
volume indicator visible nifty 50 chart index,5,Positive
badiya yarr,5,Neutral
always struggling login need see pl,1,Negative
good option trading many compitator provide better trading feature,1,Positive
cdsl authorisation otp authentication generated otp authentication working showing invalid app key message,2,Neutral
high order charge,1,Neutral
number 1 broker world,5,Positive
cheating app dont use,1,Negative
new version update really bad old one far far better consume lot time u trade intraday really pathetic instant withdrawal really hard nowadays hard add one bank account console section good nothing,1,Negative
log every time quit app login im fed procedure,1,Neutral
away zerodha like 5 year reason didnt option chain difficulty added option chain im back zerodha looking forward good journey zerodha,5,Positive
zerodha app excellent app user friendly newcomer use without trainingthe app run fast customer support service equally good supportive thanks zerodha,5,Positive
mujko zerodha kite bahot bekaar app laga user inter face bi bahot bekaar hai mean 1 saal one year se groww app use karta hu ba groww app ke charge high hai per user inter face bahot simple hai mean 2 month se angel one app bi use kar raha wo bi sahi zerodha kite mujko sabse bekaar laga ba equty dilivry free aur kuch nahi 300 per year amc bi bekaar hai app ko dekte hua,1,Positive
friendly use,5,Positive
user friendly platform improvement application amazing,5,Positive
good customer service,5,Positive
dont invest money,1,Neutral
good broker,5,Positive
excellent service always say everyone trade zerodha else dont trade fresh eye soothing interface cooperative excellent,5,Positive
nice,5,Positive
best primary app share market trading user friendly app,5,Positive
big technical problem selling existing share showing cdsl pin option instead showing bse nse sell option,1,Negative
excellent mindblowing fantastic marvellous,5,Positive
best trading platform india,5,Positive
ceo fan,5,Positive
kai naghate bhai,5,Neutral
excellent zerodha always respond properly quickly fully satisfied,5,Positive
best trading app playstore good ui doesnt scam u unlike apps,5,Positive
instant execution,5,Neutral
exceptionally satisfied tech team keep,5,Positive
support prompt resolved doubt,5,Positive
yes good never faced issue,5,Positive
zerodha earned top position issue fulltime broker apart nothing else poor trading platform poor customer service even modern web world zerodha still keep website fixed width improving simple thing user instead focusing moneyrelated platform everything money yet claim discount broker earned name referred discount brokernothing morehire good testerfull bug,1,Positive
simple best,5,Positive
add home screen featureschart ki bottom lavel par dualview system orderposition pcr v price combination chartoi change oi chart dekhne ka feature add karna chahiye kyuki positionoi pcr dekhne ke liye chart se exit hona parta hai ek hi screen pe chart aur position dekh payen jyada atcha logta hai multiple chart screen split add karna chahiye option trading karne primume chart aur index chart dono ek saath single screen dekh shaken please add thats feature,3,Positive
open easily tough position open zerodha please opening easily,2,Positive
please stop adding feature app eventually overwhelm user hamper user experience example change exit button introduced recent update caused confusion ended exiting trade market value instead placing sell order limit value feature definitely appreciated web version kite app version feature isnt userfriendly,4,Positive
fundamental technical kite app open since 3 day,1,Neutral
greatest indian trading investing brokering app become best broker chart feature outstanding people copy feature using apps come back zerodha lucky best thank finally see atm iv option chain please improve tradingview feature kite app,5,Positive
good response customer support every query,5,Positive
best,5,Positive
guidance phone complete job excellent,5,Positive
good app trading sometimes order placed market market start go opening session require restart feature download trade xlsx csv format work phone also quicker support trade executed required ensure good trading trader,4,Positive
awesome experience,5,Positive
easy use,5,Positive
customer support service slow contact reachable connected even waiting 1015 mnts disconnect call,5,Positive
please improve chart iq doesnt save study done chart like trendline etc please improve feature see save chart dont work also possible please show market depth percentage buyer seller convenience,1,Positive
thank u,5,Positive
fundamental technical opening worst daily issue continues,1,Negative
mind blowing,5,Neutral
best ever trading app robust convenient,5,Positive
zerodha frud app,1,Neutral
great indian demat account noo kite coin account,5,Positive
mobile number change prosses trubble plese esy prosses app update,1,Positive
software interface user friendly bond,3,Positive
best app trading india 1 broker time favourite zerodha nikhil kamath sir,5,Positive
best app share trading investment overall experience great delivery great platform,5,Positive
app good simple use would suggest adding additional feature like list large cap mid cap small cap stock top loser top gainer day list stock nifty sensex number stock index currently search stock manually timeconsuming feature would make app userfriendly efficient,3,Positive
good support,5,Positive
excellent support system,5,Positive
good application,5,Positive
super easy use,5,Positive
love almost half decade,5,Positive
app better use app stole 83 r,1,Positive
able install app one12 matter hard im trying get stuck install,1,Negative
useful interface application,1,Positive
excellent job,5,Positive
amazing work team zerodha,5,Positive
awesome,5,Positive
feel supportive team trading zerodha best,5,Positive
excellent service helpful official,5,Positive
app glitch delayed cant place order,1,Negative
5 minute candle proper show chartmany time right candle showvery disgusting chutiya reply,1,Negative
best stock broker,5,Positive
zerodha option position mein exit ke side arrow ka symbol banta hai worng mobile hang auto two time click money gone,4,Neutral
easy use,5,Positive
full name share required,5,Positive
easy fast app,5,Positive
zerodha doesnt option add option contract basket directly option chain whenever try create basket order zerodha manually search option contract many time dont even appear searching really frustrating,4,Negative
support resistance drawn chart geeting vanished 3 day actually nifty drawn support resistance today showing level unable trade without level pls rectify soon possible,3,Positive
hi zerodha plz add auto trailing stoploss feature also plz reply,5,Positive
fantastic,5,Positive
good trading app,5,Positive
dont want watchlists please enable checklist deletion option thank,3,Positive
ticket resolved within hour appreciate,5,Positive
using app last 6 year platform excellent problem sorted immediately telephone,5,Positive
happy support service upendra kumar started sip last month excited,5,Positive
fantastic experience,5,Positive
1pls give xirr option portfolio doesnt show xirr direct investment give combine xirr direct stock mf equity mf show one xirr 2 pls give option compare direct stock portfolio nifty 50 index fund compare stock compare index find directly see comparison stock nifty 50 remove outperforming stock 3pls giv etf list track return alllike coin mf available,3,Positive
smooth user friendly havent faced glitch technical issue far,5,Positive
awesome experience,5,Positive
app lagging order executive profit convert loss executing sell order bcz lagging order executive,1,Negative
courteous cooperative responsible helpful,5,Positive
love application,5,Positive
biggest issue kite stubborn regarding fund making minus fund indeed unfair whereas groww wont make like,2,Negative
new upgrade actually good time saving stock doesnt come fno option see option chain every stock option chain option available stock come fno segment,3,Positive
thanks zerodha,5,Positive
pathetic app whenever apply indicator show 0 value chart,1,Negative
data fundamental section doesnt load day add 5 chart yearly quarterly result show chart yearly quarterly pe pb ratio data please,1,Positive
everytime open app tool section automatically open everytime really irritating please fix bug,1,Negative
new update exit button accidentally loss non sence button real disastrous time say good bye zerodha new update non sense quick exit risky stop non sence quick exit needed,1,Negative
price getting skipped every single time gtt order worst app f trading,1,Negative
mentioned fee commission structure anywhere app description demate maintenance cost per tread cost,1,Neutral
hi device share fundamental showing keep loading,2,Positive
good experience till option available entering trade 1 buy sale price 2 target price 3 stop loss price talking option percentage price available dhan app,3,Negative
good app stock investment,4,Positive
add 10 smc indicator free,4,Positive
good stock,5,Positive
started using write experience later far know zerodha best brokerage app,4,Positive
excellent service,5,Positive
satisfactory,1,Positive
please add profit revenue net worth bar graph stock shown groww,1,Positive
good user friendly,5,Positive
costumer service nice meaning full conversation great job,5,Positive
intuitive user friendly interface great support available quickly,5,Positive
app struck time trading,1,Negative
baad customer support,1,Positive
extremely disappointed frustrated zerodhas kite platform overall lack responsibility shown support compliance team despite completing necessary step following repeatedly resolution compliance profile review day even month delay unjustified communication vague there clear timeline provided platform claim techdriven customerfocused zerodha completely failed,1,Negative
sign unable make upi verification gapy saying recipient unable recieve money,1,Neutral
best app,5,Positive
using one zerodha,5,Neutral
knowledgeable patient guidance,5,Neutral
easy understand performance stockshare buy sale also easy alongwith many data provided helped u keep stock either long term short term,5,Positive
good app trading investing,5,Positive
one family,5,Neutral
good trading app need improvement reduce fee,4,Positive
happy customer support,5,Positive
zerodha launch coin last 18 month happy,5,Positive
good good,5,Positive
amazing superb support coustomer care officer,5,Positive
ui awesome,5,Positive
good experience nonsense,5,Positive
oi change expiry day kab hoti hai ye 2 fichr laga app mein sr nice app,5,Positive
nice service,5,Positive
great app beginner,5,Positive
account creation fee maintanence fee worst interference everything terrible come dont waste time money groww angel one billion time better,1,Negative
worst experience keep onn deducting money,3,Negative
trade system complicatednot esy,3,Neutral
change buy sell window colour add clock second web version,5,Neutral
good app running low network coverage,5,Positive
nonsense app silky smooth interface thing dislike amc changed annually u charge quarterly kind deal breaker,5,Negative
best industry,5,Positive
application pretty good smooth dark mode propper visible look like dull font,4,Positive
best broker india,5,Positive
really like using zerodha please add option view chart full screen split view currently one chart go full screen make scalping monitoring price action difficult also please allow pl visibility fast exit button directly splitscreen chart view switch tab fastmoving trade feature make big difference intraday option trader hope team considers next update thanks,4,Positive
worst,1,Negative
pathetic experience email id change account despite multiple attempt still unable change email id escalated team simple told clear captcha reattempt really hard change email id account,1,Negative
fundamental loading past one month uninstalled reinstalled also still problem exists none respond even week,1,Negative
plzz update gtt order slow execute order,1,Neutral
amazing experience security,5,Positive
best app trader ui interface amazing,5,Positive
good support best security,5,Positive
excellant,5,Neutral
best app trading,5,Positive
zerodhas support team great job understand customer need well solve,5,Positive
service rendered prompt professional,5,Neutral
good service customer thank,5,Positive
15 min chart freezing nifty 50 faced issue many time please optimize chart properly,1,Positive
editing review charger amc quaterly cant manage lagging interface,1,Positive
improvement app like colourful easy visible mean font must darken look app like angel one much colourful easily visible see user app even still using app took quite effort mean user interface quite poor,2,Positive
excellent customer support,5,Positive
zerodha mtf ka share mai margin short ka message nahi aa raha,1,Positive
excellent superb,5,Positive
still havent added feature save filter setting portfolio section,1,Negative
new version worsted old better,1,Positive
would say best easiesttouse interface using two apps different broker cluttered confusing full option never need kite coin mutual fund extremely easy use far better comparison hope zerodha maintains clean interface future well,5,Positive
nomination process suck,1,Negative
good support staff amazing great conversion staff politly give dought question,5,Positive
new version option chain chart ok want easy method exit position market price one click,5,Positive
save default working properly fed saving saving closed window watched sometime bang saving mostly time taken saving file correct please,3,Positive
zerodha app smooth reliable userfriendly would really appreciate support guidance regard thank much,5,Positive
zerodha discount broker kite software good lot bug price varies different timeframes chart market depth show different price kite hang volume high cant change order price sell share dp charge rs16 per scrip irrespective quantity edit new app buysell order setting stoploss confusing worst customer care take month link nro account new demat transfer share account inaccessible cant sell,2,Positive
good app time could exit suffer total loss,1,Negative
good app,5,Positive
thanks added updated option chainsmoothness app also better prrvious versionjust simple much appreciable app fno indian marketjust call disturbance like othersnext add auto trailing stoploss option possible,5,Positive
contact customer care,4,Positive
good comapny,5,Positive
could improved,4,Positive
trade chart feature available android application kite,1,Neutral
happy wit app,5,Positive
great experience,5,Positive
good nd got information quickly solve problem,5,Positive
great app among top 23,5,Positive
vv good,4,Positive
v good,5,Positive
dear user zerodha best platform 0 brokerage delivery trade clen ui interface trading experience smoth mtf rekmation high brokerage high interest im good zerodha platform,5,Positive
promt helping response,5,Positive
charge high,1,Neutral
stock detail like fundamental technical opening,2,Positive
great experience activity,5,Positive
great customer support best application trading never faced problem zerodha great experience zerodha always customer service available best suggestion gave customer support executive,5,Positive
crash miui try view chart different stock never crash chart pageit hang always randomly crash come back home screen stuff,2,Negative
support help best,5,Positive
experience good,5,Positive
best app,5,Positive
nice experience,5,Positive
charge high,1,Neutral
super app,5,Positive
v v good,5,Positive
good app updation price bit late market hour compared broker,4,Positive
always full support always extended full supprot respect withdrawal request,5,Positive
nice super app tred,5,Positive
update good would even better option chain directly chart also need multiple chart,3,Positive
exllent,5,Neutral
app best treding im happy,5,Positive
useless app slow ipo application take age status update absolutely communication regarding ipo status also ipo ipo mandate approved even 2 day status update zerodha app pathetic,1,Negative
great app,5,Positive
user friendly interface proven track record top discount broker,5,Positive
best trading app,5,Positive
app user friendly ui outdated compared apps,3,Positive
back team work hard resolving query asap mine giffy,4,Positive
nice service active team,5,Positive
nice experience,5,Positive
zerodha best support editing review 5 year,5,Positive
extreme good ui,5,Positive
whenever clicking streak button streak backtesting portal app opening instead error page showing error code 520 host error ctbstreaktech showing page,1,Negative
horrible app,1,Negative
everytime tried open chart say logged fed,1,Neutral
proper work,1,Neutral
pathetic mtf policy favourable company planning buy stock mtf better consider others brocker rather,1,Negative
smooth simple use good support service,5,Positive
sharp move within 510 second 300 point bank nifty move 34 hour go silent thats totally manipulationplus app good lack basic feature like trailing sl target sl line chart dont kindly add target sl placement chart like dhan,1,Positive
kindly provide news event section stock general market news app 1 star less also stock open high previous close 52 week high low stock page like angeline easy see detail change without clicking fundamental technical provides one less clicktouch,4,Positive
sir zerodha chart neche jo time aatha tha usko pahale ki tarah phir add kare naye versersion wa nahi ha time hr min sec tino hotha tha,5,Positive
functional supportive,5,Positive
