Content,score
zerodha baki broker ek hi plateform pe kitne feature milte hai jaise ki important feature hai nse gainer loser nifty 500 gainer loser nifty 200 gainer loser nifty 100 gainer loser ye common feature bhi apke mobile application nahi hai majburan kisi ko dusre plateform pe jake ye check karna padega aur apke hi client dusre broker sift kar jayenge ager ye feature nahi rakhe aur mene hazar bar kaha hoga lekin client ka koi khayal nahi hai koi action nahi,2
good app ui easy understand brokerage also quite good,5
good app,5
every thing fine pls solve chart layout save problem save show error saving chart pls add multiple chart single screen like pc,4
multiple chart frame available,4
good service providerkite amazing,5
zerodha share sell withdrawal dhan charge service zero share account invest 3rd class,1
nice thanks,4
hi zerodha team happy say app good clear user experience compared apps 1 year experience stock market problem noticed want recent history stock sold market 1 week 1 month help invest stock fast compared finding new stock want one feature listing day ipo place hope see feature soon kite thank,4
give feature automatic transfer intraday fo profit bank account settlement,2
third class interface,1
fradu app 100 fradu app bse rate la exit aana nse la kaatuthu,1
good app simple brokerage couldve lower though,5
tried create new account must say new user experience matter lot make break situation add bank account detail either entering detail manually making re1 payment upi supposed returned back within 24 hour mentioned app scanned given qr code made payment receive message saying bank verification failed test transaction re1 captured app trust app,1
avarage,5
excellent customer service,5
nice app clean ui need add landscape mode android tablet,5
excellent app,5
app good scalper facility available mobile app premium chat profit lining available,4
please improve gui like grow broker,3
app allowing recover id password eve though use correct captcha,1
iam unable create demat account zerodha form past 1 month show otp procedure iam loosing patience slowly zerodha even one star please sort problem thank,1
excellent,5
super,5
nice informative customer support,5
good trading platform,5
best app currently indian financial market,5
best trading app india great job,5
veri good,5
tfc still available app kb hoga bhai ek saal baad,1
excellent app support service,5
amazing app easy secure app,5
great service nd smoothly running,5
happy good app,5
best feature app connection time error fetching bank detail even full 5g network wifi best feature saving retailer money stock market losseven sebi failed,1
zerodha user since 2019 bet nobody match elegance zerodha,5
tried sign spent 20 minute app interface worst seems useless app,1
nice,5
zerodha doesnt trailing stoploss feature like trading brokerage platform,3
would like suggest feature improvement could enhance user experience would helpful wishlist widget home screen user quickly add monitor stock mutual fund interested havent yet bought widget could provide realtime price update quick access add watchlist portfoliomaking easier user keep eye potential investment without navigating away homescreen,3
zerodha learn groww app,1
great,5
operator option trading,1
customer support jst wow,5
vood,5
nice experience zerodha best wish future journey,5
use one app like want new relat finance ad want se stock etc platform providing one would better experience mor easy use,2
user friendly interfaceapplication zerodha provide general calculator normal calculator good application good support,5
dear team number watch list column limited request keep option create maximum number watch list column row last updated version increase watch list raw abrasing see equity index option update please keep option increase watch list column raw helping see category wise share equity index future option view please work load chart faster loading slow waiting far,3
superb,5
good app data chart take time refresh,2
please add feature like broking firm app,1
smooth convenient love operate,5
service quality zerodha number one among broker whole india,5
wonderful,5
badiya hai,5
transparent easy use go,5
stop loss placement horrible app learn something grow,1
sl target treated please dont use app waste dont u,1
best broker app found,5
worst customer care zerodha amount withdrawal process late moment slow,1
good clean ui feature like scan login pc needed typing password enter app code like multiple step login please look also adding unwanted feature important feature like scan login like basic necessary lack,3
love aap use aap easy update many thing useful investor time time fo analysis easy sensibul give feedback trying trade fo buy issue brokerage charge high trade 1 lot im starting new aap provide zero brokerage also provide plan small little trader fo intaday 20 r everyone justify shift demat account compulsion,4
please give u watchlist sorting market cap,4
bring watchlist like kite web immediately,4
excellent service,5
need improvement app,4
multichart feature available kite app zerodha almost broker already providing multichart feature mobile apps zerodha yet also please add killswitch feature kite app well,5
best investment app,5
best market,5
good customer service,5
superb service,5
demate account zerodha due upgradation bank change upi id kotak new upi id kotak811 upgradation new upi showing zerodha due apply ipo upi mendate received new apgraded bank app please resolve issue soon possible,2
poor service tried many time register zerotha paying 1 returned account immediately happened many time,1
doubt l query regarding trading easily communicate zerodha support apps providing facility telephone thankyou zerodha,4
change indicator name ichimoku cloud showing wrong change software sensibull app like ichimoku cloud indicator show perfect signal indicator please fix faced lot loses following wrong signal,5
great one,5
polite cooperative person interacted future zerodha seems bright far team chose concerned,5
excellent app futuristic trading experience,5
good great help,4
please update company logo whach list stock logo,2
please make user friendly approach reach support encounter lot hurdle,1
good bed average,3
gud service,5
truly deserve 5 5 rating,5
zerodha become fraudulent employee named rajesh make suffer loss due internal server issue ask raise complaint issue next step ask wait month two issue remains unresolved go broker instead zerodha,1
best trading app,5
best platform trade,5
nyc app good facility provides,5
poor service money drawl good faith upon zerodhai need money todaybut zerodha allow withdrawvery poor serviceplz go another broker,1
bogus app chart work many time properly stop loss hit many time take 20 r per transaction app taking 10 5 r per transaction,1
excellent app trading mutual fund user friendly quick customer response,5
user interface good,5
instant withdrawal changed 900 400 1000 400 trap beginner trader liquidate changed previous rule protect,1
love app invest long term show breakdown buy stock purchased long period fundamental tijori technical streak 52week chart line tap stock name overall experience great need proper tooltips explain technical term like scrip peetc inapp 910 rating zerodha remove nice feature guy count update review rating,5
horrible experience withdrawal worst,1
fundamental section kite app working keep loading endlessly never show data,1
good supper fast,5
best app lowest brokerage fee intraday,5
quantity option buy sell,1
good,5
lack communication ive problem opening trading view app ive called many time one solve problem,1
favourite platform since year,5
quick easy,5
excellent guideline,5
user friendly ui one click connect customer service insight analysis market trend next level,5
excellent,5
outstanding,5
good support team,5
support portal extremely helpful,5
nic app,4
exillant,5
favourite broker,5
zerodha safest secure broker customer get quick response curie raised proper way cheapest discount broker per individual calculation zerodha,5
overall app work desktop better dont like use app otp use desktop make wait 1 minute sending sm,3
unable see app mobile screen,5
improving day day keep zerodha kite,5
super app,5
problem zerodha plusses huge compared minus literally tried every broker ultimately returned zerodha best experience simple app detailed faq wonderful ecosystem supporting apps best thing zerodha informed customer care seen expertise broker dont think join without doubt,5
pls update new future,5
expand watchlists capacity 50,4
simple nice,5
function chart fo work please test customer responsibility zerodhas survival professional software feature tester dedicate time fee,3
feature request many people trade commodity mcx close 1130 international trading keep going almost around clock mcx price generally derived international price adding international price market close approximate indian rupee trader prepared expect mcx open,4
mujhe iske alawa koi dusra broker pasand hi nahi hai,5
look ethical,5
login issue pan verification issue highway train time applicable open pan verification pan verification showing,1
best trading app,5
good,5
user friendly progressive platform support staff understand explain patiently resolve query,5
fast lightweight app transaction breeze app,5
scam app india,1
easy use customer care service good,5
easy use,5
glad lot improvement keep goin,5
great app immediate support,5
please add watchlistportfoliowide news section help quicker market decision showing related stock news item would give better context would make easier track news affect entire watchlistportfolio real time,3
1 ghatiya app sl lagane ki screen alag target lagane ki screen alag trade update karne ke liye alag process hai chart move hote nahin mobile per trade update karne jao kahin dikhta nahin ki profit ya loss ka amount kitna hai bus trade execution mein perfect hai app iske alawa kuch bhi benefit nahin hai app ka itna time kiske pas hai multiple screen mein jake sl target aur trade update kare single place mein hona chahiye like angelone groww,1
smooth experience last 6 year best customer support,5
app functionality slow,1
nice app,5
nice advanced app,5
zerodha kite app smooth easy use best stock trading request please launch crypto trading platform sam uistyle clean design even better performance make zerodha unbeatable,5
zerodha best trading investing app cheapest best india one brokerage app hai zerodha thanks,5
excellent customer service,5
amazing showing candlestick pattern,4
current update make app version slow operate many time able execute trade make sl due delay hence loss team zerodha please update app solution app malfunction,2
pls bring option invest foreign stock also go another app open account againit seems pathetic,2
v nice,5
best financial service,5
unable download,1
useful,5
highly knowledge people understand issue quickly well mannered polite solving issue supporting thanks supportive team im happy,5
super,5
bad customer service,1
impressive,5
demet app switch account option app,3
zarodha best application trading,5
best app among category,5
good trading platform beginner also,5
good could better,4
able open fundamental page app,1
guod,5
good experience,5
easy operate satisfied site,5
highly recommended everyone,5
nice app,5
thank supporting problem,5
best app im using option trending,5
super nice,5
customer care service good,5
good trusted app good feature app one feature also inducted open interest change open interest bar inducted index chart stock chart option trading carried facilitate option trading,5
life,5
staning layout,5
ddpi enable,1
cant pledge holding using mobile please look fix working perfectly fine laptop,3
bekar app hai kuch sahi se kaam nahi karta,1
review modified working fine frequent crash suggestion way remove booked position display position tab sure lot people might asked filter,4
use waste useless app know happening zerodha app developer set live time app trading play major role watching candle closing time broker giving live time bother zerodha team dhan app also show live time see closing time candle use useless zerodha app weve take help mobile track time whats use using,1
zerodha chart interface excellent clear intuitiveand insightfulhowever order execution especially stoploss order unreliableabout 3 5 timesmy stoploss doesnt trigger properlyresulting unexpected loss fixing would make tha platform truly topnotch,3
much disappointed tried open new account gave permission link digi locker everything repeatedly got stuck page even successful information fetching seems like zerodha needed document fetch data government document giving 1 star,1
forced change opinion worst app experience trading apps even opening umpteen time reinstalled,1
easy use app,5
best man nithin kamath,5
nice application day time working slow suggest think work fast please,3
new update showing data event,3
wrost app always hanging fundamental option opening many time buy sell,1
update app able see fundamental option chain click open wait wait update work properly see financial event one click upset good use app,2
poor charge cut hota hai koi fix nhi pese cut kar lete hai mera 400 r cut kar liya jo mene koi bhi trading nhi ki thi fir bhi bad app hai se better angle demat app hai,1
waste time lot glitch,1
stock added watchlist ltp time addition displayed track stock easier,5
please provide option chain chart,2
fund withdrawal,5
satisfied solution,5
user friendly app good app trading,5
happy zerodah especially support team,5
desktop version iq chart perfect trading view chart missing two main important thing 1 tool save option 2 chart drawing save restriction clear issue,4
using app since last many year hasselfree today first time experienced problem getting cmr could resolved even speaking customer care executive raising ticket,3
best broker someone interested investing someone looking trading one look broker reason zerodha offer option trail stop loss automatically earlier used offer option removed citing sebi restriction bo broker offering tool ie angel one would really appreciate feedback considered moving broker,5
add feature script newslike stock moving update latest news specific stock,4
didnt difficulty using zerodha customer support good happy customer,5
third class application play store bed bakvas third class application word dont download third class application word,1
good app trading,5
good response,5
trader app fraud time sell u r trade without notice happens lot nift50 banknifty happened july firstweek 2025,1
courteous knowle,5
best market,5
cant sign get otp repeatedly cant sign worst experience,1
platform best user interface best support team,5
instant solution,5
7 year zerodhavery fast neat clean app,5
exalant support team,5
indicator working option chart tradingview,2
since long using zerodha platform happy service also customer care also supportive fast resolution query,5
super app please bring feature get detail dividend received stock holding app self along considering calculating irr,5
nice customer service support,4
fundamental loading correctly,2
pls zerodha chart par 360 trading mobile aap update karo chart iq,5
install application mobile tried everything mentioned article,1
zerodha good app small flaw cannot ignored 1 home menu like upstox hope zerodha team fix small flaw next update,4
like app request implement buy chart kite app,4
best useless fundamental technical etc function working stock despite good internet connection basket function doesnt edit option fo segment activitation possible app crash p ive snapdragon gen 3 phone mobile hardware issue,1
volume indicator visible nifty 50 chart index,5
badiya yarr,5
always struggling login need see pl,1
good option trading many compitator provide better trading feature,1
cdsl authorisation otp authentication generated otp authentication working showing invalid app key message,2
high order charge,1
number 1 broker world,5
cheating app dont use,1
new version update really bad old one far far better consume lot time u trade intraday really pathetic instant withdrawal really hard nowadays hard add one bank account console section good nothing,1
log every time quit app login im fed procedure,1
away zerodha like 5 year reason didnt option chain difficulty added option chain im back zerodha looking forward good journey zerodha,5
zerodha app excellent app user friendly newcomer use without trainingthe app run fast customer support service equally good supportive thanks zerodha,5
mujko zerodha kite bahot bekaar app laga user inter face bi bahot bekaar hai mean 1 saal one year se groww app use karta hu ba groww app ke charge high hai per user inter face bahot simple hai mean 2 month se angel one app bi use kar raha wo bi sahi zerodha kite mujko sabse bekaar laga ba equty dilivry free aur kuch nahi 300 per year amc bi bekaar hai app ko dekte hua,1
friendly use,5
user friendly platform improvement application amazing,5
good customer service,5
dont invest money,1
good broker,5
excellent service always say everyone trade zerodha else dont trade fresh eye soothing interface cooperative excellent,5
nice,5
best primary app share market trading user friendly app,5
big technical problem selling existing share showing cdsl pin option instead showing bse nse sell option,1
excellent mindblowing fantastic marvellous,5
best trading platform india,5
ceo fan,5
kai naghate bhai,5
excellent zerodha always respond properly quickly fully satisfied,5
best trading app playstore good ui doesnt scam u unlike apps,5
instant execution,5
exceptionally satisfied tech team keep,5
support prompt resolved doubt,5
yes good never faced issue,5
zerodha earned top position issue fulltime broker apart nothing else poor trading platform poor customer service even modern web world zerodha still keep website fixed width improving simple thing user instead focusing moneyrelated platform everything money yet claim discount broker earned name referred discount brokernothing morehire good testerfull bug,1
simple best,5
add home screen featureschart ki bottom lavel par dualview system orderposition pcr v price combination chartoi change oi chart dekhne ka feature add karna chahiye kyuki positionoi pcr dekhne ke liye chart se exit hona parta hai ek hi screen pe chart aur position dekh payen jyada atcha logta hai multiple chart screen split add karna chahiye option trading karne primume chart aur index chart dono ek saath single screen dekh shaken please add thats feature,3
open easily tough position open zerodha please opening easily,2
please stop adding feature app eventually overwhelm user hamper user experience example change exit button introduced recent update caused confusion ended exiting trade market value instead placing sell order limit value feature definitely appreciated web version kite app version feature isnt userfriendly,4
fundamental technical kite app open since 3 day,1
greatest indian trading investing brokering app become best broker chart feature outstanding people copy feature using apps come back zerodha lucky best thank finally see atm iv option chain please improve tradingview feature kite app,5
good response customer support every query,5
best,5
guidance phone complete job excellent,5
good app trading sometimes order placed market market start go opening session require restart feature download trade xlsx csv format work phone also quicker support trade executed required ensure good trading trader,4
awesome experience,5
easy use,5
customer support service slow contact reachable connected even waiting 1015 mnts disconnect call,5
please improve chart iq doesnt save study done chart like trendline etc please improve feature see save chart dont work also possible please show market depth percentage buyer seller convenience,1
thank u,5
fundamental technical opening worst daily issue continues,1
mind blowing,5
best ever trading app robust convenient,5
zerodha frud app,1
great indian demat account noo kite coin account,5
mobile number change prosses trubble plese esy prosses app update,1
software interface user friendly bond,3
best app trading india 1 broker time favourite zerodha nikhil kamath sir,5
best app share trading investment overall experience great delivery great platform,5
app good simple use would suggest adding additional feature like list large cap mid cap small cap stock top loser top gainer day list stock nifty sensex number stock index currently search stock manually timeconsuming feature would make app userfriendly efficient,3
good support,5
excellent support system,5
good application,5
super easy use,5
love almost half decade,5
app better use app stole 83 r,1
able install app one12 matter hard im trying get stuck install,1
useful interface application,1
excellent job,5
amazing work team zerodha,5
awesome,5
feel supportive team trading zerodha best,5
excellent service helpful official,5
app glitch delayed cant place order,1
5 minute candle proper show chartmany time right candle showvery disgusting chutiya reply,1
best stock broker,5
zerodha option position mein exit ke side arrow ka symbol banta hai worng mobile hang auto two time click money gone,4
easy use,5
full name share required,5
easy fast app,5
zerodha doesnt option add option contract basket directly option chain whenever try create basket order zerodha manually search option contract many time dont even appear searching really frustrating,4
support resistance drawn chart geeting vanished 3 day actually nifty drawn support resistance today showing level unable trade without level pls rectify soon possible,3
hi zerodha plz add auto trailing stoploss feature also plz reply,5
fantastic,5
good trading app,5
dont want watchlists please enable checklist deletion option thank,3
ticket resolved within hour appreciate,5
using app last 6 year platform excellent problem sorted immediately telephone,5
happy support service upendra kumar started sip last month excited,5
fantastic experience,5
1pls give xirr option portfolio doesnt show xirr direct investment give combine xirr direct stock mf equity mf show one xirr 2 pls give option compare direct stock portfolio nifty 50 index fund compare stock compare index find directly see comparison stock nifty 50 remove outperforming stock 3pls giv etf list track return alllike coin mf available,3
smooth user friendly havent faced glitch technical issue far,5
awesome experience,5
app lagging order executive profit convert loss executing sell order bcz lagging order executive,1
courteous cooperative responsible helpful,5
love application,5
biggest issue kite stubborn regarding fund making minus fund indeed unfair whereas groww wont make like,2
new upgrade actually good time saving stock doesnt come fno option see option chain every stock option chain option available stock come fno segment,3
thanks zerodha,5
pathetic app whenever apply indicator show 0 value chart,1
data fundamental section doesnt load day add 5 chart yearly quarterly result show chart yearly quarterly pe pb ratio data please,1
everytime open app tool section automatically open everytime really irritating please fix bug,1
new update exit button accidentally loss non sence button real disastrous time say good bye zerodha new update non sense quick exit risky stop non sence quick exit needed,1
price getting skipped every single time gtt order worst app f trading,1
mentioned fee commission structure anywhere app description demate maintenance cost per tread cost,1
hi device share fundamental showing keep loading,2
good experience till option available entering trade 1 buy sale price 2 target price 3 stop loss price talking option percentage price available dhan app,3
good app stock investment,4
add 10 smc indicator free,4
good stock,5
started using write experience later far know zerodha best brokerage app,4
excellent service,5
satisfactory,1
please add profit revenue net worth bar graph stock shown groww,1
good user friendly,5
costumer service nice meaning full conversation great job,5
intuitive user friendly interface great support available quickly,5
app struck time trading,1
baad customer support,1
extremely disappointed frustrated zerodhas kite platform overall lack responsibility shown support compliance team despite completing necessary step following repeatedly resolution compliance profile review day even month delay unjustified communication vague there clear timeline provided platform claim techdriven customerfocused zerodha completely failed,1
sign unable make upi verification gapy saying recipient unable recieve money,1
best app,5
using one zerodha,5
knowledgeable patient guidance,5
easy understand performance stockshare buy sale also easy alongwith many data provided helped u keep stock either long term short term,5
good app trading investing,5
one family,5
good trading app need improvement reduce fee,4
happy customer support,5
zerodha launch coin last 18 month happy,5
good good,5
amazing superb support coustomer care officer,5
ui awesome,5
good experience nonsense,5
oi change expiry day kab hoti hai ye 2 fichr laga app mein sr nice app,5
nice service,5
great app beginner,5
account creation fee maintanence fee worst interference everything terrible come dont waste time money groww angel one billion time better,1
worst experience keep onn deducting money,3
trade system complicatednot esy,3
change buy sell window colour add clock second web version,5
good app running low network coverage,5
nonsense app silky smooth interface thing dislike amc changed annually u charge quarterly kind deal breaker,5
best industry,5
application pretty good smooth dark mode propper visible look like dull font,4
best broker india,5
really like using zerodha please add option view chart full screen split view currently one chart go full screen make scalping monitoring price action difficult also please allow pl visibility fast exit button directly splitscreen chart view switch tab fastmoving trade feature make big difference intraday option trader hope team considers next update thanks,4
worst,1
pathetic experience email id change account despite multiple attempt still unable change email id escalated team simple told clear captcha reattempt really hard change email id account,1
fundamental loading past one month uninstalled reinstalled also still problem exists none respond even week,1
plzz update gtt order slow execute order,1
amazing experience security,5
best app trader ui interface amazing,5
good support best security,5
excellant,5
best app trading,5
zerodhas support team great job understand customer need well solve,5
service rendered prompt professional,5
good service customer thank,5
15 min chart freezing nifty 50 faced issue many time please optimize chart properly,1
editing review charger amc quaterly cant manage lagging interface,1
improvement app like colourful easy visible mean font must darken look app like angel one much colourful easily visible see user app even still using app took quite effort mean user interface quite poor,2
excellent customer support,5
zerodha mtf ka share mai margin short ka message nahi aa raha,1
excellent superb,5
still havent added feature save filter setting portfolio section,1
new version worsted old better,1
would say best easiesttouse interface using two apps different broker cluttered confusing full option never need kite coin mutual fund extremely easy use far better comparison hope zerodha maintains clean interface future well,5
nomination process suck,1
good support staff amazing great conversion staff politly give dought question,5
new version option chain chart ok want easy method exit position market price one click,5
save default working properly fed saving saving closed window watched sometime bang saving mostly time taken saving file correct please,3
zerodha app smooth reliable userfriendly would really appreciate support guidance regard thank much,5
zerodha discount broker kite software good lot bug price varies different timeframes chart market depth show different price kite hang volume high cant change order price sell share dp charge rs16 per scrip irrespective quantity edit new app buysell order setting stoploss confusing worst customer care take month link nro account new demat transfer share account inaccessible cant sell,2
good app time could exit suffer total loss,1
good app,5
thanks added updated option chainsmoothness app also better prrvious versionjust simple much appreciable app fno indian marketjust call disturbance like othersnext add auto trailing stoploss option possible,5
contact customer care,4
good comapny,5
could improved,4
trade chart feature available android application kite,1
happy wit app,5
great experience,5
good nd got information quickly solve problem,5
great app among top 23,5
vv good,4
v good,5
dear user zerodha best platform 0 brokerage delivery trade clen ui interface trading experience smoth mtf rekmation high brokerage high interest im good zerodha platform,5
promt helping response,5
charge high,1
stock detail like fundamental technical opening,2
great experience activity,5
great customer support best application trading never faced problem zerodha great experience zerodha always customer service available best suggestion gave customer support executive,5
crash miui try view chart different stock never crash chart pageit hang always randomly crash come back home screen stuff,2
support help best,5
experience good,5
best app,5
nice experience,5
charge high,1
super app,5
v v good,5
good app updation price bit late market hour compared broker,4
always full support always extended full supprot respect withdrawal request,5
nice super app tred,5
update good would even better option chain directly chart also need multiple chart,3
exllent,5
app best treding im happy,5
useless app slow ipo application take age status update absolutely communication regarding ipo status also ipo ipo mandate approved even 2 day status update zerodha app pathetic,1
great app,5
user friendly interface proven track record top discount broker,5
best trading app,5
app user friendly ui outdated compared apps,3
back team work hard resolving query asap mine giffy,4
nice service active team,5
nice experience,5
zerodha best support editing review 5 year,5
extreme good ui,5
whenever clicking streak button streak backtesting portal app opening instead error page showing error code 520 host error ctbstreaktech showing page,1
horrible app,1
everytime tried open chart say logged fed,1
proper work,1
pathetic mtf policy favourable company planning buy stock mtf better consider others brocker rather,1
smooth simple use good support service,5
sharp move within 510 second 300 point bank nifty move 34 hour go silent thats totally manipulationplus app good lack basic feature like trailing sl target sl line chart dont kindly add target sl placement chart like dhan,1
kindly provide news event section stock general market news app 1 star less also stock open high previous close 52 week high low stock page like angeline easy see detail change without clicking fundamental technical provides one less clicktouch,4
sir zerodha chart neche jo time aatha tha usko pahale ki tarah phir add kare naye versersion wa nahi ha time hr min sec tino hotha tha,5
functional supportive,5
poor tv integration app issue fetching data actually required trade apps developer failed understand could would give app negative star rating,1
delivery margin use day difficult,1
fast suport,5
nice easy,5
prompt courteous sale service prompt response query dedicated executive,5
best experience best demat platform trading also economical charge,5
feel frustrated using app,1
please buy sell qty percentage add symbol,1
highest charge average quality,1
much useful timely helpfulthanks lot,5
one describes pathetic indian trading system running zerodha kite console even required much apps lunatic broker like zerodha even touch capital charge also ha ha ha wow stealing thinking self sophisticated brokerage world option placing stop loss easily visible take profit simply rule way stealing money,1
get duplicate error create 100 alert option delete watch list application,1
costly,1
awesome every aspect thank team zerodha,5
good app investing,5
chart custom periodicity allows enter upto 3 digit minute believe enhanced example want see 2 day chart frame 2 day chart frame cant kite,3
able square position carry forwardedi called support deskhe behaving like buffalo suck,1
share market app good functionality fast neat,5
someone trade intraday price dropped big level zerodha app web hang upstox groww app best new trader,1
good website tool trade,5
kite solid app longterm investing fast clean easy use integration coin make direct mutual fund investment super convenient console give great insight portfolio performance tax perfect anyone serious building wealth time simple easy use beginner,5
support team clarified query detail team good ccoperative thanks,5
working wanted sellworst experience,5
happy,5
best app trader noob go groww,5
nice support,5
excellent service simplified app mess,5
view chart option changed location please make available share name price would feasible everyone,1
1 difficult understand instant withdrawal policy always error pop requesting instant withdrawal well prescribed time frame well 2 dont display detail interest mtf stock everyday total amount charged make taking decision stock sellhold difficult expected transparency interest charged per stock hopelessly youll take constructive feedback platform,3
much user friendly brokering apps,5
dear team zerodha pls remove feature exit market price holding stock section someone want sale stock price wrongly hit exit market price tabnewly added feature tab option right exit tab unwanted loss occurs happens didnt wanted sale stock market price wrongly hit newly added tab stock sold market price,4
bad service nowadays making huge loss client,1
frequently im facing problem excess fundamental section kite mobile app even updating appcrome android system webview show freez screen opt navigate fundamental tab,2
like,5
unch nch,1
5 star doctor trader,5
zerodha progressing coming feature mobile app barebones would like see attention design mobile app dhan much better,1
best broker app,5
take profit sl feature commodity option need pnl price alert notification feature helpful multiple position opened time problem monitoring hassle missing key moment resulting lost profit incurring big loss cant monitor time feature help lot like pnl position reach 5 loss profit example get alert notification thank please add feature zerodha team,4
best,5
pl widget work always show zero fix asap,1
good platform,5
app irritating app want buy stock get quickly want sell stock asking cdsl ddpi method also agreed showing invalid otp tpin really irritating,2
worst app groww far better app,1
earning much amount brokerage atleast provide u feature bar replay tradingview integration please consider feedback improve execution lag happens often option premium chart,1
option chain need information used since 2019 really impressed sevice trading app mainly need service convenience time zerodha provide properly charge little bit higher charged full transparent way many broker shown technical glitch zerodha much better huge customer base,4
could make kite coin one application also could include feature including fixed deposit kite,4
easy use nice app,5
easy use app excellent customer support best among apps,5
overall gud add trade chart mobile app,4
till date fine,5
could please add etf option filter holding section see stock except etf portfolio currently 3 option equity mutual fund,3
spoiled chart experience mobile application since zerodha updated trading view chart became headache use chart properly using mobile humble request bring back old trading view chart cant understand weather upgrading downgrading chart experience,1
superb good guidence,5
excellent service,5
great best broker platform season reason,5
call taken try resolve query best,4
overall good app tradingbut glitch feeling time stock chart open time laggy finally seen error errorand time laggs please solve issue othervise good app trading,4
new upadate awesome one thing view chart option moved center left inconvenient pls interchange option chart view chart option,5
zerodha app great ui fast providing smooth user experience overall however newly added native option chain feature lagging quite bit opening option chain index take time load feel slow please fix issue soon enhance trading experience even,4
good experience zerodha thanks,5
fix lag issue app showing real timelive price chart,1
account wf2128i purchased retirement fund 2021 closed account kept retirement fund holding demat mode per hdfc mutual fund house cannot consoldate switch fund zerodha showing intrest helping please avoid broker thinking reporting matter sebi,1
poor ivr customer service take time speak customer representative,1
fundamental option open,3
using zerodha paying regular brokerage annual maintenance charge however repeatedly faced critical issue resulted financial loss despite placing limit order specific price zerodha often executed market price leading unexpected loss recently clearly set limit sell order sold market price causing significant loss sadly onetime error happened multiple time past,1
poor work properly low indicatorschart fundamental working updating,1
superb app service zerodha,5
response request quick received requested document within hour satisfied service zerodha team hope receive attention future thanks,5
happy zerodha remove amc great,4
wish could post conversation zerodha support team price oscillating range 1010 ui show market price cant set sl order considers market price according verified ltp ltt asked give data dont data get authorised vendor theyre instead understanding ui problem useless team make tall claim pathetic people app,1
please add watchlist feature available website,3
best aap investment,5
new update good buy sell feature good provide slide buy sell,1
best interface good support team,5
good betterthan groww,5
high many charge every week,1
worst appvery difficult se p n l difficult exit trade right time order placed sensibull directly,1
