Content,score,VADER_Sentiment,Embedding_Cluster_ID,Embedding_Cluster_Name,Sentiment
groww fraud company britannia purchased call 6050 set target 250 paisa made loss 081 tell done way invest groww app spoke customer care making understand nsc bsc meaning place order go tell nsc huge fraud incurring much loss never paid attention paid attention kind fraud,1,Negative,3,App Fraud and Money Loss,Positive
simple use,5,Neutral,4,User Interface and Usability,Neutral
good trading minimal charge promote groww,5,Positive,9,Stock Market Trading Apps,Positive
awesome,5,Positive,7,Mixed Reviews,Positive
new update good previous version delicious back previous version,3,Positive,8,Technical Issues and Updates,Positive
good one compared others market tried multiple apps finally fixed groww,5,Positive,9,Stock Market Trading Apps,Positive
bad,1,Negative,7,Mixed Reviews,Negative
chepest bad application hight charge,1,Negative,2,User Experience and Functionality,Negative
disturbing app data leak customer,1,Negative,8,Technical Issues and Updates,Negative
thank,5,Positive,6,Positive Feedback,Neutral
9th l olom,2,Neutral,6,Positive Feedback,Neutral
received contract note yesterday amount show demat account whats problem u explain,1,Negative,2,User Experience and Functionality,Neutral
superb,5,Positive,7,Mixed Reviews,Positive
pathetic experience groww option trading modification stoploss target updated single attempt 4 5 time get modified pathetic groww take care seriously option trading fraction second crucial hope expert team seriously focus issue resolve issue,4,Negative,3,App Fraud and Money Loss,Negative
simple interface biginner tradera better platform could recommend multichecked withdrawal attempt made satisfiedpersonally lot platform like zerodha personally refer grow groww app thank,5,Positive,9,Stock Market Trading Apps,Positive
lnt ee,5,Neutral,6,Positive Feedback,Neutral
without permission grow fraud company app take 1 rupee bank account worng serious,1,Positive,3,App Fraud and Money Loss,Negative
high brokerage delivery every order 5 rupeee,2,Neutral,2,User Experience and Functionality,Positive
nice app,5,Positive,1,Positive Feedback on App Quality,Positive
absolutely pathetic app customer support linked mutual fund mine bank account closed removed application run behind fund house bank account changed customer support kept arguing mutual fund folio still connected bank account closed however never give reason ever happened,1,Negative,3,App Fraud and Money Loss,Negative
nice ok,5,Positive,7,Mixed Reviews,Positive
need ai trading,5,Neutral,9,Stock Market Trading Apps,Neutral
always invest better future,4,Positive,9,Stock Market Trading Apps,Positive
good stock market,4,Positive,9,Stock Market Trading Apps,Positive
good treding app,5,Positive,9,Stock Market Trading Apps,Positive
verry good investment plan future high amount received,5,Positive,3,App Fraud and Money Loss,Positive
thank much team groww introducing commodity platform,4,Positive,9,Stock Market Trading Apps,Positive
brokerage charge low price best indian app withdrawal 5 10 time,5,Positive,2,User Experience and Functionality,Positive
great app beginner,4,Positive,1,Positive Feedback on App Quality,Positive
good apps used,5,Positive,1,Positive Feedback on App Quality,Positive
super growe,5,Positive,7,Mixed Reviews,Positive
best aap,5,Positive,1,Positive Feedback on App Quality,Positive
yv nlm ok iinii p f,3,Positive,6,Positive Feedback,Positive
amazing application investment interface simplified thing understand well,5,Positive,4,User Interface and Usability,Positive
groww one best apps,5,Positive,1,Positive Feedback on App Quality,Positive
great,5,Positive,7,Mixed Reviews,Positive
stock market,5,Neutral,9,Stock Market Trading Apps,Neutral
good groww ap thanks lot good guideline good layout,5,Positive,3,App Fraud and Money Loss,Positive
option trailing sl,3,Neutral,2,User Experience and Functionality,Neutral
trust,4,Positive,6,Positive Feedback,Neutral
best app good,5,Positive,1,Positive Feedback on App Quality,Positive
dont ad pan card namber,1,Neutral,5,User Experience and Expectations,Neutral
nice appp,5,Positive,1,Positive Feedback on App Quality,Positive
smooth experience,5,Neutral,4,User Interface and Usability,Positive
bad experience bank detail mismatch found withdraw amount submitted detail correctly due mistake cant withdraw amount bank name account number mismatching,1,Negative,3,App Fraud and Money Loss,Negative
user friendly interface,5,Positive,4,User Interface and Usability,Positive
best investment platform app,5,Positive,9,Stock Market Trading Apps,Positive
cunfuse,3,Neutral,6,Positive Feedback,Neutral
good application platform,5,Positive,1,Positive Feedback on App Quality,Positive
fund safecheck fund order everydayloose lot money n help groww blame u wrong info given big cheat,1,Negative,3,App Fraud and Money Loss,Negative
b dikh raha hai e,5,Neutral,5,User Experience and Expectations,Neutral
smooth use,2,Neutral,4,User Interface and Usability,Positive
bug user interface need enhanced,3,Neutral,4,User Interface and Usability,Neutral
created excellent trading platform,5,Positive,9,Stock Market Trading Apps,Positive
usefull application,5,Neutral,1,Positive Feedback on App Quality,Neutral
need update put stoploss sell buying time,4,Neutral,2,User Experience and Functionality,Neutral
nice sarvice,5,Positive,6,Positive Feedback,Positive
better upstox,5,Positive,9,Stock Market Trading Apps,Positive
vary good app,5,Positive,1,Positive Feedback on App Quality,Positive
number one app,5,Positive,1,Positive Feedback on App Quality,Neutral
high brockerge charge,1,Neutral,2,User Experience and Functionality,Positive
excellent app buy sell stock,5,Positive,9,Stock Market Trading Apps,Positive
nice esely fund add withdraw,5,Positive,3,App Fraud and Money Loss,Positive
update recent change option chain layout made platform less userfriendly earlier simple view call put around strike price directly chart forced search option individually cumbersome meaningless developer understand trader need fast access option chain data analysis buysell button app fantastic cc 5 star app negative star customer care sudden change,3,Negative,8,Technical Issues and Updates,Neutral
nice,5,Positive,6,Positive Feedback,Positive
permpal,5,Neutral,6,Positive Feedback,Neutral
thing excellentoutstation without exit load withdraw money,5,Neutral,2,User Experience and Functionality,Neutral
easy understand simple fast loading suggest please add crpto platform like,5,Positive,4,User Interface and Usability,Positive
s1nlhy55a sa sa 1 l,4,Neutral,6,Positive Feedback,Neutral
awesome app trading,5,Positive,9,Stock Market Trading Apps,Positive
best app invest,5,Positive,9,Stock Market Trading Apps,Positive
future brite hoga ummid hai thanks groww,5,Positive,5,User Experience and Expectations,Neutral
invest first time getting lot return 23 time showing loss cant get profit fake hacker cant give profit,1,Negative,3,App Fraud and Money Loss,Negative
groww like frozen bank account deposit money never withdraw,1,Positive,3,App Fraud and Money Loss,Neutral
good buying selling please make sure,5,Positive,2,User Experience and Functionality,Positive
good app,5,Positive,1,Positive Feedback on App Quality,Positive
even though groww app transferred money groww account bank try add money show 6 added 1000 balance showing 994 happening want make formal professional feedback frustrated highlight issue strongly review,1,Positive,3,App Fraud and Money Loss,Neutral
good app searching,5,Positive,1,Positive Feedback on App Quality,Positive
great experience,5,Positive,6,Positive Feedback,Positive
fraud app late execution trade,1,Negative,2,User Experience and Functionality,Negative
best investing app india,5,Positive,9,Stock Market Trading Apps,Positive
latest update fo panel good used show proper detail position detail option doesnt show detail properly ticket number 21504751 use ticket well proper support,1,Positive,8,Technical Issues and Updates,Positive
thank u much,5,Positive,6,Positive Feedback,Positive
mujhe kuch bhi fayada nhi mila,1,Neutral,5,User Experience and Expectations,Neutral
order redeem on23rd still progress,1,Positive,2,User Experience and Functionality,Neutral
costmere care service bed,3,Positive,6,Positive Feedback,Neutral
app suddenly showing investment amount holding update look unreliable primary investment application,3,Neutral,3,App Fraud and Money Loss,Positive
great platform,5,Positive,9,Stock Market Trading Apps,Positive
aacha laga bhut kuchh hai e,5,Neutral,5,User Experience and Expectations,Neutral
best trading,5,Positive,9,Stock Market Trading Apps,Positive
veri good groww,5,Positive,7,Mixed Reviews,Positive
groww apps wale se dukhi hu mene 5 ipo kharida jisme mere ko ak bhi allotment nhi hu jab ipo allotment hi nhi karna kharidne ke liya noti fisn kiyo dete ho mere ko ipo kiyo nhi allotment hua ka rijan nhi diya share ka nam nsdlshreeji sippingpteal retalvikarm solarshari lotoshighway infra jese share kharide ne ke bad 7din ke bad sm ata nota allotment vv bed,1,Negative,3,App Fraud and Money Loss,Negative
good service,5,Positive,6,Positive Feedback,Positive
nice experience,5,Positive,6,Positive Feedback,Positive
groww app share market bahuth achaa hi,5,Positive,9,Stock Market Trading Apps,Neutral
groww,5,Neutral,7,Mixed Reviews,Neutral
team grow fed policy suffer alot never use app ever withdraw entire ammount hated app go hell,1,Negative,3,App Fraud and Money Loss,Negative
tonksy,5,Neutral,0,Mixed Reviews,Neutral
great app,5,Positive,1,Positive Feedback on App Quality,Positive
high charge brokerage like dhan app suggestion everyone use dhan app,1,Positive,2,User Experience and Functionality,Positive
good application,5,Positive,1,Positive Feedback on App Quality,Positive
great consumer friendly app,5,Positive,1,Positive Feedback on App Quality,Positive
7 48 0 330 07,1,Neutral,6,Positive Feedback,Neutral
bad app money stolen ggt order lage huye pe bhi apne aap sell kar deta h aur complain bhi nahi leta h worth app plz dont believe app use another app,1,Negative,3,App Fraud and Money Loss,Negative
kept profit themselvescredited invested amount accounttotal frauddo use apptotal fraudulent,1,Negative,3,App Fraud and Money Loss,Neutral
supar,5,Neutral,7,Mixed Reviews,Neutral
scalper tab main balance show correct balance ie example ten lakh rupee account balance show 10 lakh buy premium value rupee 2 lakh balance show 8 lakh exit position balance still showing 8 lakh go back refresh page correct balance 10 lakh show main problem go back refresh page setting chart reset adjust,5,Negative,2,User Experience and Functionality,Neutral
clearly display charge fee related loan mutual fund app taking loan,5,Positive,3,App Fraud and Money Loss,Neutral
easy aap,5,Positive,4,User Interface and Usability,Positive
unable see per minute trading view pooe experience,2,Neutral,2,User Experience and Functionality,Negative
invester friendly,5,Positive,9,Stock Market Trading Apps,Positive
pawar apps,5,Neutral,1,Positive Feedback on App Quality,Neutral
kiiazzzzzzzz zz zz,2,Neutral,0,Mixed Reviews,Neutral
bill recharge available,4,Neutral,2,User Experience and Functionality,Positive
awesome service,5,Positive,6,Positive Feedback,Positive
err eeee eew ree ee s,4,Neutral,6,Positive Feedback,Neutral
soooooooooo pol lo oloo op ka note ooo,5,Neutral,5,User Experience and Expectations,Neutral
good app supportive app,4,Positive,1,Positive Feedback on App Quality,Positive
poor panoti garib bhikari app account everytime dont install app,1,Negative,8,Technical Issues and Updates,Negative
good app investment,4,Positive,9,Stock Market Trading Apps,Positive
want money return,3,Positive,3,App Fraud and Money Loss,Neutral
intradey tool really bad wont able exit order time customer support team useless day time groww customer support,3,Negative,2,User Experience and Functionality,Negative
good lag open app,4,Positive,1,Positive Feedback on App Quality,Positive
please add watchlist commodity,5,Positive,2,User Experience and Functionality,Neutral
bug overall good experience may need revise mtf intrest broker take 10pa,3,Positive,2,User Experience and Functionality,Positive
best app,5,Positive,1,Positive Feedback on App Quality,Positive
awesome app treding,5,Positive,1,Positive Feedback on App Quality,Positive
good experience farfew improvement suggested time time,4,Positive,6,Positive Feedback,Positive
f sent f h arch key feature f f theft ith different rhyt u h arch support,3,Positive,6,Positive Feedback,Neutral
immediate solution issue easy operate,5,Positive,4,User Interface and Usability,Positive
deducted much money trading account beware retailer broker robber gang,1,Negative,2,User Experience and Functionality,Positive
groww really helpful app,5,Positive,1,Positive Feedback on App Quality,Positive
many frauders involved app trust dont invest market getting worse day day,1,Positive,3,App Fraud and Money Loss,Neutral
dont even consider app app designed lose money trader maximum time app wont execute correct orderfor intraday trader place trade nse app execute try add sl target order switch nse bse wont notice lot order related issue,1,Negative,2,User Experience and Functionality,Neutral
excellent app,5,Positive,1,Positive Feedback on App Quality,Positive
invested 10k debt fund received cheque wrong ac number,1,Negative,3,App Fraud and Money Loss,Negative
commodity market kab ayega abhi tak aya nahi hai delivery time price hike kiya hai 2 r 5 r hogya,1,Neutral,5,User Experience and Expectations,Neutral
good app,5,Positive,1,Positive Feedback on App Quality,Positive
totally froud aap hi grow team facing login isuue device reset data pls solve issue urgently choosing mail id error facing something went wrong iam taking new version app play store isuue solve pls check solve issue error,2,Negative,8,Technical Issues and Updates,Negative
faltu paie ki barbadi,1,Neutral,5,User Experience and Expectations,Neutral
unusual app download,1,Neutral,1,Positive Feedback on App Quality,Positive
v good,5,Positive,7,Mixed Reviews,Positive
broker lot charge go zerodha,1,Neutral,2,User Experience and Functionality,Neutral
good app investmentjust one feature required thats finance aggregator please provide user track finance groww app,5,Positive,9,Stock Market Trading Apps,Positive
bahut achcha hai uska profit bahut achcha lagta hai,5,Positive,5,User Experience and Expectations,Neutral
yah bhi aap koi madad karna fake trading hota hai ismein,1,Negative,5,User Experience and Expectations,Negative
sometimes able calculate math option correctly app kid compared others technical issue,3,Neutral,8,Technical Issues and Updates,Positive
superb app ease saving,5,Positive,1,Positive Feedback on App Quality,Positive
good morning,5,Positive,6,Positive Feedback,Positive
love app good interface,5,Positive,1,Positive Feedback on App Quality,Positive
k u u u 7 6 l mkm mey pbm b gihv,3,Neutral,6,Positive Feedback,Neutral
one best aap investment,5,Positive,9,Stock Market Trading Apps,Positive
good apk,4,Positive,1,Positive Feedback on App Quality,Positive
dear groww team feel lagg issue updating groww app,3,Positive,8,Technical Issues and Updates,Neutral
glitch,1,Neutral,6,Positive Feedback,Neutral
best app trading,5,Positive,9,Stock Market Trading Apps,Positive
best treding aap,5,Positive,9,Stock Market Trading Apps,Positive
bad thing money withdrawal prosses bad withdrawal money yesterday spend 3 day money received bank account groww faill payment show money prossaing refund groww account bad condition groww app told never use groww app life also told friend family member use groww app thanks,1,Negative,3,App Fraud and Money Loss,Negative
brokerage others commission suck profit groww 4 demat account cant use groww using platform groww reduce unusual charge use,1,Neutral,2,User Experience and Functionality,Positive
update detail,4,Neutral,8,Technical Issues and Updates,Neutral
good,5,Positive,7,Mixed Reviews,Positive
love,5,Positive,6,Positive Feedback,Positive
im using groww app last 3 year could see bug im trying switch current mutual fund sip mutual fund sip app getting closed automatically someone fix asap,3,Neutral,3,App Fraud and Money Loss,Neutral
super nice,5,Positive,6,Positive Feedback,Positive
good investment trading purpose,4,Positive,9,Stock Market Trading Apps,Positive
nice one,5,Positive,6,Positive Feedback,Positive
mutual fund please add swp stp option important managing mutual fund,4,Positive,3,App Fraud and Money Loss,Positive
nice se,5,Positive,6,Positive Feedback,Positive
great app hidden fee,5,Positive,1,Positive Feedback on App Quality,Positive
amazing,4,Positive,7,Mixed Reviews,Positive
simple good,5,Positive,4,User Interface and Usability,Positive
sometimes application opened always problem right got problem working groww app,2,Negative,8,Technical Issues and Updates,Positive
ap lot glitch,1,Neutral,3,App Fraud and Money Loss,Neutral
bring back ipo looked previously,1,Neutral,3,App Fraud and Money Loss,Neutral
rsi rsi groww app,5,Neutral,9,Stock Market Trading Apps,Neutral
nice fast,5,Positive,6,Positive Feedback,Positive
gajab ka app ha,5,Positive,5,User Experience and Expectations,Neutral
well done,5,Positive,6,Positive Feedback,Neutral
app nice use give u information stock market like much,5,Positive,9,Stock Market Trading Apps,Positive
please create feature smerge stock holding based sector form basket consolidated view via sector 30 stock stock holding section difficult track better kind feature available thanks advance,1,Positive,3,App Fraud and Money Loss,Positive
one best user friendly app demat,5,Positive,9,Stock Market Trading Apps,Positive
groww super easy use clean interface smooth kyc quick transaction investment option one app perfect beginner well regular investor,5,Positive,9,Stock Market Trading Apps,Positive
set limit price buy stock option time price come price order doesnot get executed kindly look issue,4,Positive,2,User Experience and Functionality,Positive
fundamental technical analysis nahin deta hai jo har kisi ko samajh aaya,4,Neutral,5,User Experience and Expectations,Neutral
grow direction chalta hai hum u side ka trade karne ke baad hi der main trend change app se rahe,1,Neutral,5,User Experience and Expectations,Positive
working fine,5,Positive,7,Mixed Reviews,Positive
1dgiyfoucfrjvkkghkjjvcbn u15igvnx p8g,5,Neutral,6,Positive Feedback,Neutral
good interface easy use brokerage charge high brokerage charge reduce developer best broker india disadvantage face provided commodity trading smart order section like stop losstrailing stop lossinstant order chart etc,1,Positive,2,User Experience and Functionality,Positive
abduljabbar,5,Neutral,5,User Experience and Expectations,Neutral
good service,5,Positive,6,Positive Feedback,Positive
download app app fraud weigh amount get money people also get money app weigh amount please bro download,1,Negative,3,App Fraud and Money Loss,Neutral
paur na ikb hai vb ir hai ham kahan hai ham,5,Neutral,5,User Experience and Expectations,Neutral
check ongoing sip etf listed mf sip section,3,Neutral,3,App Fraud and Money Loss,Neutral
easy access,5,Positive,4,User Interface and Usability,Positive
investing app best,5,Positive,9,Stock Market Trading Apps,Positive
ussfull,5,Neutral,7,Mixed Reviews,Neutral
app good one problem macd indicater showing please solve,3,Positive,8,Technical Issues and Updates,Positive
good app,5,Positive,1,Positive Feedback on App Quality,Positive
dont recommend use appdeposit quick withdraw slow 4 5,1,Negative,3,App Fraud and Money Loss,Neutral
tshirt bhejne ki jagah kuch customised bhej yr,5,Neutral,5,User Experience and Expectations,Neutral
dear groww team actively using platform intraday trading scalping experience smooth overall noticed one issue scalper mode currently stop loss sl target tp cannot dragged directly chart order placement scalper quick adjustm,4,Positive,2,User Experience and Functionality,Positive
marvelous,5,Positive,7,Mixed Reviews,Positive
please provide web scalping stoploss trailing feature,3,Positive,2,User Experience and Functionality,Neutral
fix website platform landscape device exm tabletpcmac6 month web app experience good,4,Positive,8,Technical Issues and Updates,Positive
hi hi best trading platform important trading platform life money without money trading earn money zero rupee groww app like hope payment successful without money trading thank groww,5,Positive,9,Stock Market Trading Apps,Positive
groww provide option check xirr etf investment must check growth investment,2,Positive,3,App Fraud and Money Loss,Neutral
excellent platform invest stock,5,Positive,9,Stock Market Trading Apps,Positive
good response,4,Positive,6,Positive Feedback,Positive
app really deserves 5 star rating cant possibly ask anything time,5,Neutral,1,Positive Feedback on App Quality,Neutral
best treding aap thanks lot,5,Positive,9,Stock Market Trading Apps,Positive
best broker,5,Positive,9,Stock Market Trading Apps,Positive
best opportunity,5,Positive,6,Positive Feedback,Positive
worst application ever,1,Negative,1,Positive Feedback on App Quality,Negative
worst app want see mtf interest ledger mtf loss ledger app hide transaction,1,Negative,3,App Fraud and Money Loss,Negative
nice app,5,Positive,1,Positive Feedback on App Quality,Positive
invest sappotar,5,Neutral,9,Stock Market Trading Apps,Neutral
vary good app,4,Positive,1,Positive Feedback on App Quality,Positive
please add account switch option family member,3,Positive,3,App Fraud and Money Loss,Neutral
app good charge taking fno trade high reduce charge,1,Positive,2,User Experience and Functionality,Positive
great experience,5,Positive,6,Positive Feedback,Positive
good thind,5,Positive,6,Positive Feedback,Positive
worst app,1,Negative,1,Positive Feedback on App Quality,Negative
hi please script rotate news script reliance 1 mean serial number first 10,4,Positive,8,Technical Issues and Updates,Neutral
withdrawal process toughif hou closed previous accountand dont information thati trying 2yearsat time investment show message itworst experience mailed already process relevant,1,Neutral,3,App Fraud and Money Loss,Neutral
well organized platform,5,Positive,4,User Interface and Usability,Neutral
good groww stock,5,Positive,9,Stock Market Trading Apps,Positive
